ID,Ref,PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),HOMO_n(eV),LUMO_n(eV),Eg_n(eV),n(SMILES),M (g/mol),HOMO_p(eV),LUMO_p(eV),Eg_p(eV),p(SMILES),Mw (kg/mol),Mn(kg/mol),PDI,n(labels),p(labels)
708,319,8.45,8.29,15.3,0.731,0.755,-5.75,-3.97,1.78,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(cc4ccc5c6c(cc7ccc3c4c75)-c3sc4cc(/C=C5\C(=O)c7cc(F)c(F)cc7C5=C(C#N)C#N)sc4c3C6(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)-c3sc4cc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)sc4c32)cc1,1624.06,-5.2,-3.59,1.61,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,335,48
709,319,9.55,9.47,23.3,0.634,0.645,-5.47,-4.06,1.41,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\C(=O)c6cc(F)c(F)cc6C4=C(C#N)C#N)sc3c2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,1562.02,-5.2,-3.59,1.61,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,97,48
710,320,11.3,11.1,19.7,0.62,0.92,-5.69,-4.14,1.55,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(F)cc5C4=C(C#N)C#N)sc23)cc1,1463.94,-5.4,-3.3,2.1,CCCCCCCCC(CCCC)Cc1cc(-c2nc3cc4sc(-c5cc(CC(CCCC)CCCCCCCC)c(-c6cc7c(-c8ccc(CC(CC)CCCC)s8)c8sc(C)cc8c(-c8ccc(CC(CC)CCCC)s8)c7s6)s5)nc4cc3s2)sc1C,269.6,107,2.52,567,122
711,321,10.7,10.6,18.9,0.666,0.85,-5.35,-3.91,1.44,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6cc(Cl)c(Cl)cc6C5=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3c4c(sc23)-c2cc3c(cc2C4(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)-c2sc(/C=C4\C(=O)c5cc(Cl)c(Cl)cc5C4=C(C#N)C#N)cc2C3(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,2332.92,-5.21,-3.41,1.8,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,9.2,5,1.82,150,153
712,321,9.3,9.2,18.5,0.669,0.75,-5.26,-3.95,1.31,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(Cl)c(Cl)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3c4c(sc23)-c2cc3c(cc2C4(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)-c2sc4cc(/C=C5\C(=O)c6cc(Cl)c(Cl)cc6C5=C(C#N)C#N)sc4c2C3(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,2445.09,-5.21,-3.41,1.8,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,9.2,5,1.82,455,153
713,322,9.41,9.18,14.62,0.603,1.07,-5.49,-3.73,1.76,[C-]#[N+]/C(C#N)=c1/s/c(=C\c2ccc(-c3cc4c(s3)-c3cc5c(cc3C4(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)-c3sc(-c4ccc(/C=c6\sc(=C(C#N)C#N)n(CC)c6=O)c6nn(CCCCCCCC)nc46)cc3C5(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)c3nn(CCCCCCCC)nc23)c(=O)n1CC,1772.51,-5.13,-3.22,1.91,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c2n1,170,53.1,3.2,67,131
714,322,10.5,10.35,13.16,0.666,1.24,-5.49,-3.73,1.76,[C-]#[N+]/C(C#N)=c1/s/c(=C\c2ccc(-c3cc4c(s3)-c3cc5c(cc3C4(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)-c3sc(-c4ccc(/C=c6\sc(=C(C#N)C#N)n(CC)c6=O)c6nn(CCCCCCCC)nc46)cc3C5(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)c3nn(CCCCCCCC)nc23)c(=O)n1CC,1772.51,-5.39,-3.45,1.94,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc(Cl)c(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6cc(Cl)c(CC(CC)CCCC)s6)c5s4)s3)c2n1,56.1,18.1,3.1,67,109
715,323,13.72,13.48,22.88,0.691,0.868,-5.54,-3.89,1.65,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5scc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)c5SCC(CC)CCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3scc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)c3SCC(CC)CCCC)sc2-4)cc1,1840.55,-5.33,-2.92,2.41,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117,58.5,2,412,153
716,323,12.2,11.98,19.67,0.623,0.996,-5.54,-3.89,1.65,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5scc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)c5SCC(CC)CCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3scc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)c3SCC(CC)CCCC)sc2-4)cc1,1840.55,-5.54,-2.98,2.56,CCCCCCCCC(CCCCCC)COc1cnc2c(C)c(F)c(F)c(-c3ccc(C)s3)c2n1,82.1,39.1,2.1,412,259
717,324,8.02,7.62,14.8,0.642,0.805,-5.81,-4.01,1.8,CCCCCCc1cc(C2(c3ccc(CCCCCC)s3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)s2)(c2ccc(CCCCCC)s2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cs1,1452.04,-5.44,-3.82,1.62,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,53.4,24.5,2.18,305,48
718,324,7.42,7.26,15.6,0.594,0.785,-5.81,-4.01,1.8,CCCCCCc1cc(C2(c3ccc(CCCCCC)s3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)s2)(c2ccc(CCCCCC)s2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cs1,1452.04,-5.47,-3.85,1.62,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)[se]5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)[se]5)c4s3)sc(C)c2c1F,245.2,40.4,6.07,305,55
719,324,5.95,5.57,12.1,0.534,0.86,-5.81,-4.01,1.8,CCCCCCc1cc(C2(c3ccc(CCCCCC)s3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)s2)(c2ccc(CCCCCC)s2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cs1,1452.04,-5.49,-3.9,1.59,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5cc(F)c(CSC(CC)CCCC)s5)c5sc(C)cc5c(-c5cc(F)c(CSC(CC)CCCC)s5)c4s3)sc(C)c2c1F,31,17.6,1.76,305,242
720,324,7.9,7.44,13.1,0.571,0.995,-5.81,-4.01,1.8,CCCCCCc1cc(C2(c3ccc(CCCCCC)s3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)s2)(c2ccc(CCCCCC)s2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cs1,1452.04,-5.65,-4,1.65,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5cc(F)c(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5cc(F)c(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,39.6,20.6,1.92,305,224
721,325,10.82,10.66,16.64,0.712,0.9,-5.61,-4.02,1.59,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1427.96,-5.21,-3.41,1.8,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117,58.5,2,21,153
722,325,11.71,11.57,17.17,0.715,0.94,-5.58,-3.98,1.6,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(C)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(C)cc5C4=C(C#N)C#N)sc23)cc1,1456.01,-5.21,-3.41,1.8,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117,58.5,2,473,153
723,326,13.72,13.36,20.27,0.739,0.915,-5.58,-4.01,1.57,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7c(csc7Cl)C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5c(csc5Cl)C4=C(C#N)C#N)sc23)cc1,1508.88,-5.51,-3.57,1.94,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(Cl)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1Cl,44.9,25.5,1.76,181,77
724,326,12.01,11.65,21.6,0.699,0.795,-5.52,-4.13,1.39,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(/C=C5\C(=O)c6cc(Cl)c(Cl)cc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\C(=O)c6cc(Cl)c(Cl)cc6C4=C(C#N)C#N)sc3c2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,1627.83,-5.51,-3.57,1.94,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(Cl)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1Cl,44.9,25.5,1.76,486,77
725,327,13.1,12.96,21.03,0.699,0.891,-5.66,-4.14,1.52,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1,1499.92,-5.48,-3.52,1.96,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CSC(CC)CCCC)sc(CSC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,38.2,16.2,2.36,561,245
726,328,10.45,10.13,16.92,0.657,0.94,-5.55,-3.8,1.75,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1427.96,-5.39,-3.3,2.09,CCCCCCC(CCCC)Cn1nc2c(-c3ccc(C)s3)cc3c(cc(-c4ccc(-c5cc6c(-c7ccc(SCC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(SCC(CC)CCCC)s7)c6s5)s4)c4nn(CC(CCCC)CCCCCC)nc43)c2n1,106.9,43.1,2.48,21,172
727,328,11.31,11,18.65,0.689,0.88,-5.7,-3.99,1.71,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1,1499.92,-5.39,-3.3,2.09,CCCCCCC(CCCC)Cn1nc2c(-c3ccc(C)s3)cc3c(cc(-c4ccc(-c5cc6c(-c7ccc(SCC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(SCC(CC)CCCC)s7)c6s5)s4)c4nn(CC(CCCC)CCCCCC)nc43)c2n1,106.9,43.1,2.48,561,172
728,328,12.16,11.81,17.58,0.706,0.98,-5.55,-3.8,1.75,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1427.96,-5.45,-3.41,2.04,CCCCCCC(CCCC)Cn1nc2c(-c3ccc(C)s3)cc3c(cc(-c4ccc(-c5cc6c(-c7cc(F)c(SCC(CC)CCCC)s7)c7sc(C)cc7c(-c7cc(F)c(SCC(CC)CCCC)s7)c6s5)s4)c4nn(CC(CCCC)CCCCCC)nc43)c2n1,111.7,44.5,2.51,21,99
729,328,13.25,12.92,19.23,0.741,0.93,-5.7,-3.99,1.71,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1,1499.92,-5.45,-3.41,2.04,CCCCCCC(CCCC)Cn1nc2c(-c3ccc(C)s3)cc3c(cc(-c4ccc(-c5cc6c(-c7cc(F)c(SCC(CC)CCCC)s7)c7sc(C)cc7c(-c7cc(F)c(SCC(CC)CCCC)s7)c6s5)s4)c4nn(CC(CCCC)CCCCCC)nc43)c2n1,111.7,44.5,2.51,561,99
730,329,7.12,6.81,10.98,0.55,1.19,-5.99,-3.62,2.37,CCCCCCC(CCCCCC)N1C(=O)c2ccc3c4ccc5c6c(cc(-c7ccc8c(c7)C7(c9ccccc9-c9ccccc97)c7cc(-c9cc%10c%11c(ccc%12c%13ccc%14c%15c(ccc(c9c%11%12)c%15%13)C(=O)N(C(CCCCCC)CCCCCC)C%14=O)C(=O)N(C(CCCCCC)CCCCCC)C%10=O)ccc7-8)c(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CCCCCC)CCCCCC)C5=O,1822.48,-5.55,-3.56,1.99,CCCCCCCCC(CCCCCC)COC(=O)c1cc(-c2sc(-c3c(F)c(F)c(-c4cc(CC(CCCCCC)CCCCCCCC)c(-c5cc(C(=O)OCC(CCCCCC)CCCCCCCC)c(-c6ccc(-c7c(F)c(F)c(-c8ccc(C)s8)c8nsnc78)s6)s5)s4)c4nsnc34)cc2CC(CCCCCC)CCCCCCCC)sc1C,214.6,94.2,2.28,99,98
731,329,8.1,7.83,10.47,0.65,1.2,-5.74,-3.58,2.16,CCCCCCC(CCCCCC)n1c(=O)c2ccc3c4ccc5c(=O)n(C(CCCCCC)CCCCCC)c(=O)c6cc7c8sc(-c9cc(-c%10cc%11c%12cc%13c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%14ccc%15c%16ccc%17c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%18cc(c%11s%10)c(c%16c%17%18)c%12c%15c%14%13)c(-c%10cc%11c%12cc%13c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%14ccc%15c%16ccc%17c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%18cc(c%11s%10)c(c%16c%17%18)c%12c%15c%14%13)cc9-c9cc%10c%11cc%12c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%13ccc%14c%15ccc%16c(=O)n(C(CCCCCC)CCCCCC)c(=O)c%17cc(c%10s9)c(c%15c%16%17)c%11c%14c%13%12)cc8c8cc(c1=O)c2c3c8c7c4c56,3410.69,-5.55,-3.56,1.99,CCCCCCCCC(CCCCCC)COC(=O)c1cc(-c2sc(-c3c(F)c(F)c(-c4cc(CC(CCCCCC)CCCCCCCC)c(-c5cc(C(=O)OCC(CCCCCC)CCCCCCCC)c(-c6ccc(-c7c(F)c(F)c(-c8ccc(C)s8)c8nsnc78)s6)s5)s4)c4nsnc34)cc2CC(CCCCCC)CCCCCCCC)sc1C,214.6,94.2,2.28,395,98
732,330,9.81,9.37,13.72,0.71,0.97,-5.62,-4.04,1.58,CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,1011.4,-5.59,-3.61,1.98,CCCCCCCCCCCCC(CCCCCCCCCC)Cc1cc(-c2c(F)c(F)c(-c3cc(CC(CCCCCCCCCC)CCCCCCCCCCCC)c(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c(F)c5F)s4)s3)c3nn(CCCCCCCC)nc23)sc1C,114.2,56.2,2.03,164,59
733,330,10.6,10.36,16.24,0.67,0.96,-5.62,-4.04,1.58,CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,1011.4,-5.58,-3.58,2,CCCCCCCCCCCCC(CCCCCCCCCC)Cc1ccc(-c2cc(-c3c(F)c(F)c(-c4cc(-c5ccc(CC(CCCCCCCCCC)CCCCCCCCCCCC)s5)c(-c5ccc(-c6c(F)c(F)c(-c7ccc(C)s7)c(F)c6F)s5)s4)c4nn(CCCCCCCC)nc34)sc2C)s1,98,54.1,1.81,164,252
734,331,10.3,10.1,24.6,0.649,0.646,-5.43,-4,1.43,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\C(=O)c6cc(F)c(F)cc6C4=C(C#N)C#N)sc3c2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,1562.02,-5.2,-3.59,1.61,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,97,48
735,331,7.31,7.21,12.9,0.543,1.05,-5.52,-3.69,1.83,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6\SC(=S)N(CC)C6=O)c6nsnc56)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(/C=C5/SC(=S)N(CC)C5=O)c5nsnc35)sc2-4)cc1,1518.19,-5.2,-3.59,1.61,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,439,48
736,332,8.77,8.46,15.43,0.632,0.9,-5.7,-3.86,1.84,CCCCCCC(CCCC)Cc1cc(-c2ccc(C=C(C#N)C#N)c3nsnc23)sc1-c1nc2sc(-c3sc(-c4ccc(C=C(C#N)C#N)c5nsnc45)cc3CC(CCCC)CCCCCC)nc2s1,1063.51,-5.4,-3.24,2.16,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Si](CCC)(CCC)CCC)s6)c6sc(C)cc6c(-c6ccc([Si](CCC)(CCC)CCC)s6)c5s4)s3)c2n1,139,56.2,2.47,4,213
737,332,6.3,6.05,12.75,0.537,0.92,-5.5,-3.8,1.7,CCCCCCC(CCCC)Cc1cc(-c2ccc(/C=c3\sc(=C(C#N)C#N)n(CC)c3=O)c3nsnc23)sc1-c1nc2sc(-c3sc(-c4ccc(/C=c5\sc(=C(C#N)C#N)n(CC)c5=O)c5nsnc45)cc3CC(CCCC)CCCCCC)nc2s1,1317.83,-5.4,-3.24,2.16,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Si](CCC)(CCC)CCC)s6)c6sc(C)cc6c(-c6ccc([Si](CCC)(CCC)CCC)s6)c5s4)s3)c2n1,139,56.2,2.47,606,213
738,333,13.2,13.1,25.3,0.693,0.75,-5.54,-4.05,1.49,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5sc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)cc5SCC(CC)CCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)cc3SCC(CC)CCCC)sc2-4)cc1,1840.55,-5.3,-3.33,1.97,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,475,48
739,334,12.1,11.9,24.73,0.678,0.722,-5.36,-3.92,1.44,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(/C=C5\C(=O)c6ccc(F)cc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\C(=O)c6ccc(F)cc6C4=C(C#N)C#N)sc3c2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,1526.04,-5.2,-3.69,1.51,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,506,48
740,335,8.27,8.06,15.68,0.663,0.8,-5.47,-3.94,1.53,CCCCCCc1cccc(C2(c3cccc(CCCCCC)c3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)cc32)C(c2cccc(CCCCCC)c2)(c2cccc(CCCCCC)c2)c2c-4sc3c4c(sc23)-c2cc3c(cc2C4(c2cccc(CCCCCC)c2)c2cccc(CCCCCC)c2)-c2sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc2C3(c2cccc(CCCCCC)c2)c2cccc(CCCCCC)c2)c1,2267.12,-5.2,-3.6,1.6,CCCCC(CC)COC(=O)c1sc2c(C)sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2c1F,47,23.8,1.98,587,6
741,335,11.32,11.08,18.01,0.683,0.92,-5.47,-3.94,1.53,CCCCCCc1cccc(C2(c3cccc(CCCCCC)c3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)cc32)C(c2cccc(CCCCCC)c2)(c2cccc(CCCCCC)c2)c2c-4sc3c4c(sc23)-c2cc3c(cc2C4(c2cccc(CCCCCC)c2)c2cccc(CCCCCC)c2)-c2sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc2C3(c2cccc(CCCCCC)c2)c2cccc(CCCCCC)c2)c1,2267.12,-5.4,-3.24,2.16,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Si](CCC)(CCC)CCC)s6)c6sc(C)cc6c(-c6ccc([Si](CCC)(CCC)CCC)s6)c5s4)s3)c2n1,139,56.2,2.47,587,213
