ref,ref number from paper,reference link,DOI,Donor Molecule,Donor PDI,Donor Mn (kDa),Donor Mw (kDa),HOMO_D (eV),LUMO_D (eV),Ehl_D (eV),Eg_D (eV),Acceptor Molecule,HOMO_A (eV),LUMO_A (eV),Ehl_A (eV),Eg_A (eV),D:A ratio (m/m),solvent,Active layer spin coating speed (rpm),total solids conc. (mg/mL),solvent additive,solvent additive conc. (% v/v),active layer thickness (nm),temperature of thermal annealing,annealing time (min),hole contact layer,HTL energy level (eV),HTL thickness (nm),electron contact layer,ETL enegy level (eV),ETL thickness (nm),hole mobility blend (cm^2 V^-1 s^-1),electron mobility blend (cm^2 V^-1 s^-1),effective mobility,Langevin prefactor,Voc vs ln(I) slope,Voc (V),Jsc (mA cm^-2),FF (%),PCE (%),calc_PCE
260,136,link,10.1021/acs.chemmater.7b01615,PBDB-T,,,,,,0,,IT-M,,-3.98,3.98,,1:1,CB,3000,20,DIO,1,115,100,10,MoOx,,10,EDTA-ZnO,,40,3.17E-04,2.96E-04,,,,0.953,17.34,73.2,12.10,1209.631464
261,137,link,10.1002/aenm.201801601,PBDB-T,4.22,36.2,,-5.36,-3.54,-1.82,1.82,ITIC,,,0,,1:1,CB,2000,20,DIO,0.5,,160,10,MoOx,,3,ZnO,,,2.01E-04,1.42E-04,,,,0.86,18.12,64.29,10.02,1001.843928
262,138,link,10.1002/adfm.201705659,PBDB-T,,,,-5.33,-3.53,-1.8,,ITIC,-5.61,-4.02,-1.59,,1:1,CB,1500,,DIO,3,160,110,10,PEDOT:PSS,,30,PFN-Br,,5,,,,,,0.896,16.55,70.73,10.54,1048.841024
263,138,link,10.1002/adfm.201705659,PBDB-T,,,,-5.33,-3.53,-1.8,,IT-M,-5.58,-3.98,-1.6,,1:1,CB,1500,,DIO,3,160,110,10,PEDOT:PSS,,30,PFN-Br,,5,,,,,,0.95,16.37,74.06,11.52,1151.74409
264,139,link,10.1007/s11426-016-0417-9,PBDB-T,,,,,,0,,DICTiF,-5.55,-3.62,-1.93,1.75,1:1.4,CF,,,DPE,0.5,,80,,PEDOT:PSS,,,PDIN,,,8.45E-05,7.46E-05,,,,0.98,11.2,65,6.97,713.44
265,140,link,10.1002/adfm.201603820,PffBT4T-2OD,,,,-5.3,-3.7,-1.6,,BAF-4CN,-5.7,-3.6,-2.1,2.16,1:1.35,o-DCB:CB (1:1),800,,DIO,0.1304347826,300,25,0,MoOx,,10,ZnO,,40,2.90E-04,4.90E-04,,,,0.769,15.52,70.7,8.40,843.796016
266,141,link,10.1007/s40843-016-5155-2,PBDB-T,,,,,,0,,DCF-2HT,-5.67,-3.72,-1.95,1.93,1:1.4,CF,,,PN,0.5,,25,0,PEDOT:PSS,,,PDIN,,,1.34E-05,4.86E-05,,,,1.02,11.3,49.5,5.71,570.537
267,141,link,10.1007/s40843-016-5155-2,PTB7-Th,,,,,,0,,DCF-2HT,-5.67,-3.72,-1.95,1.93,1:1.4,CF,,,PN,0.5,,25,0,PEDOT:PSS,,,PDIN,,,,,,,,0.96,12.43,40.04,4.83,477.789312
268,142,link,10.1002/adma.201702125,FTAZ,,,,-5.38,-3.17,-2.21,,ITIC1,-5.48,-3.84,-1.64,1.55,1:1.3,CF,,11.5,_,0,90,25,0,MoOx,,10,ZnO,,30,2.70E-03,2.00E-04,,,,0.921,16.45,56.4,8.54,854.48538
269,142,link,10.1002/adma.201702125,FTAZ,,,,-5.38,-3.17,-2.21,,ITIC2,-5.43,-3.8,-1.63,1.53,1:1.3,CF,,11.5,_,0,90,110,0,MoOx,,10,ZnO,,30,1.40E-03,4.10E-04,,,,0.925,18.88,63,11.00,1100.232
270,143,link,10.1021/jacs.7b11278,PTB7-Th,,,,-5.22,-3.64,-1.58,,BT-IC,-5.32,-3.85,-1.47,,1:1.5,CB:CF (9:1),,25,_,0,130,150,10,MoOx,,,ZnO,,25,5.10E-04,1.20E-04,,,,0.81,17.5,59.6,8.30,844.83
271,143,link,10.1021/jacs.7b11278,PTB7-Th,,,,-5.49,-4.09,-1.4,,BT-CIC,-5.32,-3.85,-1.47,1.33,1:1.5,CB:CF (9:1),,25,_,0,130,150,10,MoOx,,,ZnO,,25,6.50E-04,2.10E-04,,,,0.7,22.5,71,11.20,1118.25
273,144,link,10.1039/C7TC04520D,FTAZ,,,,-5.38,-3.17,-2.21,,IDIC1,-5.51,-3.81,-1.7,1.67,1:1.5,CF,3000,12.5,_,0,100,25,0,MoOx,,5,ZnO,,,1.30E-04,2.00E-05,,,,0.896,13.6,58.5,7.13,712.8576
274,144,link,10.1039/C7TC04520D,FTAZ,,,,-5.38,-3.17,-2.21,,IHIC1,-5.47,-3.75,-1.72,1.69,1:1.5,CF,3000,12.5,_,0,100,25,0,MoOx,,5,ZnO,,,1.50E-04,2.60E-05,,,,0.95,14.3,67.9,9.21,922.4215
275,145,link,10.1039/C7TA05809H,PBDB-T,,,,-5.33,-2.92,-2.41,,NTIC,-5.58,-3.76,-1.82,1.67,1:0.8,CF,,9,_,0,100,25,0,PEDOT:PSS,,30,PDINO,,,1.91E-04,9.15E-05,,,,0.935,13.55,68.1,8.63,862.775925
276,145,link,10.1039/C7TA05809H,PBDB-T,,,,-5.33,-2.92,-2.41,,NTIC-Me,-5.53,-3.73,-1.8,1.74,1:0.8,CF,,9,_,0,100,25,0,PEDOT:PSS,,30,PDINO,,,7.29E-05,6.93E-05,,,,0.963,13.93,66.2,8.30,888.045858
277,145,link,10.1039/C7TA05809H,PBDB-T,,,,-5.33,-2.92,-2.41,,NTIC-OMe,-5.53,-3.7,-1.83,1.71,1:0.8,CF,,9,_,0,100,25,0,PEDOT:PSS,,30,PDINO,,,8.49E-05,7.86E-05,,,,0.965,13.52,66,8.61,861.0888
278,145,link,10.1039/C7TA05809H,PBDB-T,,,,-5.33,-2.92,-2.41,,NTIC-F,-5.52,-3.77,-1.75,1.66,1:0.8,CF,,9,_,0,100,25,0,PEDOT:PSS,,30,PDINO,,,8.00E-05,6.59E-05,,,,0.812,15.04,66.3,8.10,809.687424
279,146,link,10.1002/adfm.201704389,PffBT4T-2OD,,,,-5.34,-3.69,-1.65,1.61,FBR,-5.83,-3.7,-2.13,2.13,1:1.4,o-DCB:CB (1:1),,14,_,0,100,25,0,MoOx,,,ZnO,,40,,,,,,1.11,12.62,50,7.04,700.41
280,147,link,https://doi.org/10.1016/j.nanoen.2019.01.039,PBT1-C,2.3,,78.5,-5.47,-3.46,-2.01,1.87,IT-4F,-5.74,-4.11,-1.63,1.53,1:1,CB,,,DIO,0.25,,25,0,MoOx,,3,ZnO,,,8.40E-04,5.00E-04,,,,0.79,19.7,70.5,10.90,1097.1915
281,147,link,https://doi.org/10.1016/j.nanoen.2019.01.039,PBT1-C-2Cl,4.8,,75.8,-5.59,-3.53,-2.06,1.85,IT-4F,-5.74,-4.11,-1.63,1.53,1:1,CB,,,DIO,0.25,,25,0,MoOx,,3,ZnO,,,1.07E-03,5.40E-04,,,,0.85,19.74,76,12.70,1275.204
282,148,link,10.1002/solr.201700107,J71,,,,-5.25,-3.18,-2.07,,IT-IC,-5.58,-3.88,-1.7,1.59,1:1.2,CF,1500,16,_,0,130,25,0,PEDOT:PSS,,,PDINO,,10,,,,,,0.96,14.8,63.6,9.30,903.6288
283,148,link,10.1002/solr.201700107,J71,,,,-5.25,-3.18,-2.07,,BDT-IC,-5.51,-3.9,-1.61,1.53,1:1.2,CF,1500,16,_,0,130,25,0,PEDOT:PSS,,,PDINO,,10,1.13E-04,1.90E-04,,,,0.92,17.3,65.5,10.90,1042.498
284,149,link,10.1007/s11426-018-9260-2,PBDB-TF,2.36,26.8,63.3,-5.47,-3.67,-1.8,1.8,IT-4F,-5.59,-3.5,-2.09,-5.09,1:1,CB,,20,_,0,100,100,10,PEDOT:PSS,,30,PFN-Br,,,,,,,,0.86,20.8,76,13.59,1359.488
285,149,link,10.1007/s11426-018-9260-2,PBDB-TF,2.36,26.8,63.3,-5.47,-3.67,-1.8,1.8,IT-4Cl,-5.75,-4.09,-1.66,-4.99,1:1,CF,,14,_,0,100,100,10,PEDOT:PSS,,30,PFN-Br,,,,,,,,0.78,22.25,73,12.67,1266.915
286,149,link,10.1007/s11426-018-9260-2,PBDB-T-2Cl,2.5,25.5,63.7,-5.51,-3.71,-1.8,1.8,IT-4F,-5.59,-3.5,-2.09,-5.09,1:1,CB,,20,_,0,100,100,10,PEDOT:PSS,,30,PFN-Br,,,,,,,,0.89,20.58,78,14.29,1428.6636
287,149,link,10.1007/s11426-018-9260-2,PBDB-T-2Cl,2.5,25.5,63.7,-5.51,-3.71,-1.8,1.8,IT-4Cl,-5.75,-4.09,-1.66,-4.99,1:1,CF,,14,_,0,100,100,10,PEDOT:PSS,,30,PFN-Br,,,,,,,,0.81,22.01,74,13.37,1319.2794
288,150,link,10.1021/jacs.8b02695,P1_PDTB-EF-T,2.6,25.7,,-5.51,-3.59,-1.92,1.93,IT-4F,-5.66,-4.14,-1.52,1.52,1:1,CB,2000,18,DIO,0.5,,25,0,PEDOT:PSS,,10,PFN-Br,,,1.51E-04,4.12E-04,,,,0.896,20.05,64,11.50,1149.7472
289,150,link,10.1021/jacs.8b02695,P2_PDTB-EF-T,4.1,39.9,,-5.5,-3.59,-1.91,1.93,IT-4F,-5.66,-4.14,-1.52,1.52,1:1,CB,2000,18,DIO,0.5,100,150,10,MoOx,,10,ZnO,,30,3.46E-04,3.95E-04,,,,0.9,20.74,76,14.20,1418.616
290,150,link,10.1021/jacs.8b02695,P3_PDTB-EF-T,5.2,37.2,,-5.54,-3.6,-1.94,1.94,IT-4F,-5.66,-4.14,-1.52,1.52,1:1,CB,2000,18,DIO,0.5,,25,0,PEDOT:PSS,,10,PFN-Br,,,6.32E-05,2.35E-04,,,,0.904,20.31,61,11.20,1119.97464
291,151,link,10.1007/s11426-018-9334-9,PBDB-T-SF,,,,-5.42,-3.64,-1.78,,NCBDT-4Cl,-5.6,-4.02,-1.58,1.4,1:1,CF,,,DIO,0.2,110,110,,PEDOT:PSS,,,PDINO,,,2.25E-04,1.85E-04,,,,0.851,22.35,74.3,14.10,1413.174855
292,152,link,10.1016/j.joule.2019.01.004,PBDB-TF,,49,,-5.56,-3.5,-2.06,,Y6,-5.65,-4.1,-1.55,1.81,1:1.2,CF,3000,16,CN,0.5,150,110,10,PEDOT:PSS,,40,PDINO,,15,2.00E-04,5.90E-04,,,,0.83,25.3,74.8,15.70,1570.7252
293,153,link,10.1002/adfm.201705095,PBDB-T,,,,,,0,1.6,ITC6-IC,-5.73,-3.92,-1.81,1.6,1:1,CB,,12.5,_,0,110,125,10,MoOx,,10,ZnO,,,2.63E-04,1.93E-04,,,,0.97,16.41,73,11.61,1161.9921
294,154,link,10.1039/C8EE02560F,J71,,,,,,0,,ITC6-IC,,,0,,,CF,,12,_,0,93,,,PEDOT:PSS,,40,PDINO,,,5.00E-04,,,,,0.938,18.35,65.77,11.32,1132.052971
558,154,link,10.1039/C8EE02560F,PTQ10,,,,,,0,,IDIC,,,0,,,CF,,12,_,0,112,,,PEDOT:PSS,,40,PDINO,,,7.23E-03,,,,,0.943,18.75,69.66,12.32,1231.675875
559,154,link,10.1039/C8EE02560F,J71,,,,,,0,,MeIC,,,0,,,CF,,12,_,0,103,,,PEDOT:PSS,,40,PDINO,,,5.56E-04,,,,,0.919,17.77,69.89,11.43,1141.347731
560,154,link,10.1039/C8EE02560F,J71,,,,,,0,,ITCPTC,,,0,,,CF,,12,_,0,90,,,PEDOT:PSS,,40,PDINO,,,2.22E-04,,,,,0.881,17.46,67.96,10.46,1045.37839
561,154,link,10.1039/C8EE02560F,J71,,,,,,0,,ITIC,,,0,,,CF,,12,_,0,102,,,PEDOT:PSS,,40,PDINO,,,2.09E-04,,,,,0.93,18.06,65.75,10.95,1104.32385
295,155,link,10.1016/j.nanoen.2018.11.067,PBDB-TF,,,,-5.5,-3.75,-1.75,,IT-4F,-5.64,-4.06,-1.58,,1:1,CB,,20,DIO,0.5,100,25,0,PEDOT:PSS,,40,PFN-Br,,,2.26E-04,6.27E-05,,,,0.86,20.8,74.5,13.37,1332.656
296,155,link,10.1016/j.nanoen.2018.11.067,PBDB-TF,,,,-5.5,-3.75,-1.75,,ITIC,-5.62,-3.87,-1.75,,1:1,CB,,20,DIO,0.5,100,25,0,PEDOT:PSS,,40,PFN-Br,,,1.14E-04,2.32E-04,,,,1,16.1,66.07,10.64,1063.727
297,156,link,10.1002/marc.201800393,PBDB-T,,,,-5.33,-3.16,-2.17,,ATT-6,-5.45,-3.61,-1.84,1.53,1:1,CF,,15,_,0,,160,10,PEDOT:PSS,,30,PDINO,,30,5.37E-05,2.44E-05,,,,0.96,14.66,59.37,8.22,835.549632
298,156,link,10.1002/marc.201800393,PBDB-T,,,,-5.33,-3.16,-2.17,,ATT-7,-5.48,-3.66,-1.82,1.54,1:1,CF,,15,_,0,,160,10,PEDOT:PSS,,30,PDINO,,30,7.25E-05,5.35E-05,,,,0.97,15.99,66.67,10.12,1034.071701
299,157,link,10.1038/s41467-019-08386-9,PBDB-T,,,,-5.39,-3.5,-1.89,,Y1,-5.45,-3.95,-1.5,1.44,1:1,CB,3000,16,CN,0.8,100,25,0,MoOx,,15,ZnO,,30,1.56E-03,3.04E-04,,,,0.87,22.44,69.1,13.42,1349.02548
300,157,link,10.1038/s41467-019-08386-9,PBDB-T,,,,-5.39,-3.5,-1.89,,Y2,-5.43,-4.04,-1.39,1.4,1:1,CB,3000,16,CN,0.8,100,25,0,MoOx,,15,ZnO,,30,2.59E-03,2.08E-04,,,,0.82,23.56,69.4,13.40,1340.75248
301,158,link,10.1021/acs.chemmater.8b04087,PBDB-T,,,,-5.26,-3.63,-1.63,,BDTS-4Cl,-5.45,-3.82,-1.63,1.46,1:1,CF,,,_,0,110,25,0,PEDOT:PSS,,15,PDINO,,,2.74E-04,7.80E-05,,,,0.83,9.8,45.9,3.73,373.3506
302,158,link,10.1021/acs.chemmater.8b04087,PBDB-T,,,,-5.26,-3.63,-1.63,,BDTC-4Cl,-5.35,-3.75,-1.6,1.42,1:1,CF,,,_,0,110,25,0,PEDOT:PSS,,15,PDINO,,,1.47E-04,1.06E-04,,,,0.864,18.56,59.5,9.54,954.13248
303,159,link,10.1002/aenm.201802686,PTBB-o,2,22.4,,-5.52,-3.37,-2.15,1.89,ITCPTC,-5.62,-3.96,-1.66,,1:1,CF,2500,16,_,0,110,100,5,MoOx,,5,ZnO,,,5.38E-05,2.09E-04,,,,0.99,7.35,30.5,2.14,221.93325
304,159,link,10.1002/aenm.201802686,PTBB-m,1.8,24.6,,-5.48,-3.42,-2.06,1.88,ITCPTC,-5.62,-3.96,-1.66,,1:1,CF,2500,16,_,0,110,100,5,MoOx,,5,ZnO,,,2.28E-04,2.15E-04,,,,0.97,15.04,48.4,7.07,706.09792
305,159,link,10.1002/aenm.201802686,PTBB-p,1.9,37,,-5.41,-3.49,-1.92,1.84,ITCPTC,-5.62,-3.96,-1.66,,1:1,CF,2500,16,_,0,110,100,5,MoOx,,5,ZnO,,,1.15E-04,2.54E-04,,,,0.91,15.7,50.9,7.26,727.2083
306,160,link,10.1039/C8TA12224E,PBDS-TZ,1.91,37.3,,-5.41,-3.46,-1.95,1.95,IT-4F,-5.66,-4.14,-1.52,,1:1,CB,1000,16,DIO,0.25,,90,20,MoOx,,7,ZnO,,,5.01E-04,2.71E-04,,,,0.804,20.05,73.1,12.01,1178.38662
307,161,link,10.1002/solr.201800332,J71,,,,,,0,,BTA701,-5.27,-2.83,-2.44,2.1,1:1,CF,,,_,0,,120,,PEDOT:PSS,,,Ca,,20,1.69E-07,2.53E-08,,,,1.32,0.21,25,0.07,6.93
308,161,link,10.1002/solr.201800332,J71,,,,,,0,,BTA3,-5.49,-3.61,-1.88,1.76,1:1,CF,,,_,0,,150,,PEDOT:PSS,,,Ca,,20,4.64E-04,8.23E-04,,,,1.2,10.39,69,8.60,860.292
309,161,link,10.1002/solr.201800332,J71,,,,,,0,,BTA703,-5.5,-3.9,-1.6,1.5,1:0.5,CF,,,_,0,,120,,PEDOT:PSS,,,Ca,,20,6.15E-07,1.06E-07,,,,0.85,3.56,40,1.21,121.04
310,162,link,10.1002/chem.201900296,PTB7-Th,,,,-5.25,-3.59,-1.66,,Py-1,-5.79,-3.76,-2.03,1.95,1:1.5,CF,1500,10,_,0,100,25,0,MoOx,,10,ZnO,,20,1.02E-03,1.06E-04,,,,0.74,12.09,65,5.88,581.529
311,162,link,10.1002/chem.201900296,PTB7-Th,,,,-5.25,-3.59,-1.66,,Py-2,-5.83,-3.78,-2.05,1.97,1:1,CF,1500,10,_,0,100,25,0,MoOx,,10,ZnO,,20,9.00E-04,1.90E-05,,,,0.75,9.67,47,3.47,340.8675
312,163,link,10.1021/acs.chemmater.8b04265,PBB-T,2.52,107,,-5.4,-3.3,-2.1,2.1,ITIC-F,-5.69,-4.14,-1.55,1.55,1:1.2,CB,,15.4,_,0,100,150,,PEDOT:PSS,,30,PDINO,,,1.93E-04,1.74E-04,,,,0.91,20.9,70,13.30,1331.33
313,164,link,10.1039/C8QM00610E,PFBDB-T,2.6,26,,-5.47,-3.46,-2.01,1.77,C8-ITIC,-5.63,-3.91,-1.72,1.55,1:1.25,CB,2000,20,_,0,,25,0,MoOx,,10,ZnO,,,,,,,,0.93,19.59,69,12.50,1257.0903
314,165,link,10.1039/C8TC05318A,P_TBTT-BTT,,,,-5.15,-3.58,-1.57,1.57,ICz-Rd2,-5.59,-3.88,-1.71,1.71,1:1,CF,2500,15,_,0,90,40,10,PEDOT:PSS,,,PFN,,,,,,,,1.04,14.04,54,7.88,788.4864
315,165,link,10.1039/C8TC05318A,P_TBTT-BTT,,,,-5.15,-3.58,-1.57,1.57,ICz-RdCN2,-5.58,-3.98,-1.6,1.61,1:1,CF,2500,15,_,0,90,40,10,PEDOT:PSS,,,PFN,,,,,,,,1.01,15.58,62,9.76,975.6196
316,166,link,10.1039/C8TA10662B,PBZ,1.86,19.9,39,-5.18,-3.22,-1.96,1.94,IT-4F,-5.69,-4.07,-1.62,1.5,1:1,Toluene,,20,PN,1,,25,0,MoOx,,10,ZnO,,30,1.20E-04,1.20E-05,,,,0.6,17,63.2,6.40,644.64
317,166,link,10.1039/C8TA10662B,PBZ-Cl,2.1,16.2,34,-5.39,-3.41,-1.98,1.94,IT-4F,-5.69,-4.07,-1.62,1.5,1:1,Toluene,,20,PN,1,,25,0,MoOx,,10,ZnO,,30,1.91E-04,1.16E-04,,,,0.8,17.7,68.3,9.70,967.128
318,166,link,10.1039/C8TA10662B,PBZ-ClSi,1.81,23.8,43,-5.56,-3.5,-2.06,1.94,IT-4F,-5.69,-4.07,-1.62,1.5,1:1,Toluene,,20,PN,1,100,25,0,MoOx,,10,ZnO,,30,2.57E-04,2.11E-04,,,,0.93,19.2,71.5,12.80,1276.704
319,167,link,10.1021/acsami.8b16628,PT1,2,16.2,32.5,-5.46,-3.59,-1.87,1.87,ITIC,-5.6,-4.05,-1.55,,1:1.5,CB,2000,20,_,0,100,25,0,MoOx,,10,ZnO,,,2.18E-06,3.48E-06,,,,0.95,5.77,39,2.13,213.7785
320,167,link,10.1021/acsami.8b16628,PT2,2.5,66.4,169.5,-5.35,-3.58,-1.77,1.77,ITIC,-5.6,-4.05,-1.55,,1:1.5,CB,2000,20,_,0,100,25,0,MoOx,,10,ZnO,,,1.17E-05,3.43E-06,,,,0.84,16.33,64,9.00,877.9008
321,167,link,10.1021/acsami.8b16628,PT3,2.3,66.6,153.2,-5.37,-3.54,-1.83,1.83,ITIC,-5.6,-4.05,-1.55,,1:1.5,CB,2000,20,_,0,100,25,0,MoOx,,10,ZnO,,,2.83E-05,4.35E-06,,,,0.88,15.52,68,9.21,928.7168
322,168,link,10.1039/C8QM00609A,PBDB-T,,,,-5.33,-3.53,-1.8,,DF-TCIC,-5.37,-3.76,-1.61,1.66,1:1.2,CF,3500,15,CN,0.5,100,140,30,MoOx,,8,PFN,,,8.91E-05,7.12E-06,,,,0.86,16.39,58,8.23,817.5332
323,168,link,10.1039/C8QM00609A,PBDB-T,,,,-5.33,-3.53,-1.8,,HF-TCIC,-5.43,-3.83,-1.6,1.44,1:1.2,CF,3500,15,CN,0.5,100,120,30,MoOx,,8,PFN,,,8.33E-05,1.53E-05,,,,0.76,20.04,65,9.86,989.976
324,169,link,10.1039/C8TA11059J,BO2FC8,2.3,31.5,71.2,-5.5,-3.6,-1.9,1.77,m-ITIC-OR-4Cl,-5.78,-4.05,-1.73,1.52,1:1.5,CB,,15,_,0,100,150,10,MoOx,,10,ZnO,,40,3.00E-03,2.50E-03,,,,0.83,20.2,63.3,11.00,1061.2878
325,169,link,10.1039/C8TA11059J,BO2FEH,2.1,25.2,53.6,-5.59,-3.59,-2,1.8,m-ITIC-OR-4Cl,-5.78,-4.05,-1.73,1.52,1:1.5,CB,,15,_,0,100,150,10,MoOx,,10,ZnO,,40,2.70E-03,1.80E-03,,,,0.88,14.4,48.5,6.40,614.592
326,170,link,10.1039/C8TA10882J,PTB-EDOT,2.2,28.7,,-5.33,-3.63,-1.7,1.57,ITIC-Th,-5.66,-3.93,-1.73,,1:1.5,MeTHF,2000,16,_,0,100,100,5,MoOx,,10,ZnO,,30,1.25E-04,2.43E-04,,,,0.84,15.37,66.5,8.59,858.5682
327,170,link,10.1039/C8TA10882J,PTB-EDOTS,2.4,31.5,,-5.38,-3.69,-1.69,1.55,ITIC-Th,-5.66,-3.93,-1.73,,1:1.5,MeTHF,2000,16,_,0,100,100,5,MoOx,,10,ZnO,,30,2.35E-04,3.56E-04,,,,0.88,16.25,71.2,10.18,1018.16
328,171,link,10.1039/C8TA11006A,POPB,2.5,22.9,51.7,-5.38,-3.57,-1.81,1.81,IT-4F,-5.69,-4.07,-1.62,,1:1.5,CB,,20,DIO,0.5,,25,0,MoOx,,10,ZnO,,,3.15E-04,1.86E-04,,,,0.72,16.8,51.2,6.20,619.3152
329,171,link,10.1039/C8TA11006A,PFOPB,1.96,28.5,54.2,-5.5,-3.64,-1.86,1.86,IT-4F,-5.69,-4.07,-1.62,,1:1.5,CB,,20,DIO,0.5,,25,0,MoOx,,10,ZnO,,,4.43E-04,3.46E-04,,,,0.89,20.4,64.5,11.70,1171.062
330,172,link,10.1039/C8NJ04896G,P3HT,,,,-5,-3.1,-1.9,,BIBT-NI,-5.62,-3.65,-1.97,2.04,1:1.2,o-DCB,,28,_,0,90,110,,MoOx,,10,ZnO,,40,4.19E-04,3.34E-06,,,,0.77,6.14,44.2,2.10,208.96876
331,173,link,10.1002/marc.201800906,PBDT-F-2TC,2.6,67.5,176.7,-5.55,-3.58,-1.97,1.97,IT-4F,-5.68,-4.13,-1.55,,1:1,CB,,,_,0,100,110,10,PEDOT:PSS,,,PFN-Br,,,3.93E-04,5.96E-04,,,,0.91,18.9,62.51,10.75,1075.10949
332,173,link,10.1002/marc.201800906,PBDT-SF-2TC,2.5,37.8,97.1,-5.57,-3.59,-1.98,1.98,IT-4F,-5.68,-4.13,-1.55,,1:1,CB,,,_,0,100,110,10,PEDOT:PSS,,,PFN-Br,,,4.06E-04,5.27E-04,,,,0.93,20.73,57.45,11.07,1107.572805
333,174,link,10.1039/C8TA11004B,PDBT-F,1.52,,93,-5.39,-3.57,-1.82,1.81,IT-M,-5.51,-3.91,-1.6,,1:1,CF,2400,,DIO,0.5,,100,10,PEDOT:PSS,,,PFN-Br,,,,,,,,0.97,17.02,63.71,10.52,1051.813874
334,174,link,10.1039/C8TA11004B,PDBT-F,1.52,,93,-5.39,-3.57,-1.82,1.81,IDIC,-5.69,-3.91,-1.78,,1:1,CF,2400,,DIO,0.25,,100,10,PEDOT:PSS,,,PFN-Br,,,,,,,,0.87,17.65,71.5,11.02,1097.91825
335,175,link,10.1039/C9TA00114J,PBDS-T,,,,-5.35,-3.67,-1.68,1.82,ITIC,-5.5,-3.89,-1.61,,1.2:1,CB,,20,DIO,0.5,100,25,0,MoOx,,7,ZnO,,,1.30E-04,3.60E-04,,,,0.98,18.23,60,10.72,1071.924
336,175,link,10.1039/C9TA00114J,PBDS-T,,,,-5.35,-3.67,-1.68,1.82,ITIC-F,-5.6,-4.01,-1.59,1.55,1:1,CB,,20,DIO,0.5,150,25,0,MoOx,,7,ZnO,,,8.60E-04,7.50E-04,,,,0.9,18.64,66.7,11.19,1118.9592
337,175,link,10.1039/C9TA00114J,PBDS-T,,,,-5.35,-3.67,-1.68,1.82,ITIC-Th1,-5.7,-4.12,-1.58,1.53,1:1,CB,,20,DIO,0.5,150,25,0,MoOx,,7,ZnO,,,8.90E-03,9.80E-03,,,,0.88,19.55,70,12.04,1204.28
338,176,link,10.1021/acs.chemmater.8b05327,J71,,,,-5.4,-3.24,-2.16,,ITDM,-5.58,-3.82,-1.76,1.63,1:1,CF,2000,16,_,0,,100,5,PEDOT:PSS,,40,ZrAcAc,,,8.07E-04,4.13E-04,,,,1.015,16.74,70.9,12.05,1204.66899
339,176,link,10.1021/acs.chemmater.8b05327,J71,,,,-5.4,-3.24,-2.16,,ITCF,-5.59,-3.95,-1.64,1.57,1:1,CF,2000,16,_,0,,100,5,PEDOT:PSS,,40,ZrAcAc,,,8.38E-04,5.32E-04,,,,0.91,18.48,78.8,13.25,1325.16384
340,176,link,10.1021/acs.chemmater.8b05327,J71,,,,-5.4,-3.24,-2.16,,IT-4F,-5.63,-4.06,-1.57,1.54,1:1,CF,2000,16,_,0,,100,5,PEDOT:PSS,,40,ZrAcAc,,,8.81E-04,4.89E-04,,,,0.803,19.58,74.2,11.66,1166.627308
341,177,link,10.1039/C8TA07544A,PTBFeh-BDD,1.63,62.7,,-5.26,-3.46,-1.8,1.8,ITIC,-5.56,-3.92,-1.64,,,,,,_,0,,25,0,PEDOT:PSS,,,,,,2.21E-04,2.86E-04,,,,0.893,17.76,70.16,11.13,1112.715149
342,177,link,10.1039/C8TA07544A,PTBFSdo-BDD,1.91,38.5,,-5.31,-3.56,-1.75,1.75,ITIC,-5.56,-3.92,-1.64,,,,,,_,0,,25,0,PEDOT:PSS,,,,,,1.08E-04,2.37E-04,,,,0.928,17.24,66.1,10.57,1057.515392
343,177,link,10.1039/C8TA07544A,PTBFSeh-BDD,1.58,52.3,,-5.32,-3.57,-1.75,1.75,ITIC,-5.56,-3.92,-1.64,,,,,,_,0,,25,0,PEDOT:PSS,,,,,,9.50E-05,2.63E-04,,,,0.935,17.06,64.08,10.23,1022.146488
344,178,link,10.1021/acs.macromol.8b02360,2TC-TT-BDTFT,2,126,,-5.45,-3.5,-1.95,2.73,m-ITIC,-5.52,-3.83,-1.69,,1:1,o-DCB,,16,_,0,100,120,5,PEDOT:PSS,,30,PDINO,,,5.40E-04,3.80E-04,,,,1.06,15.25,59.31,9.65,958.74615
345,178,link,10.1021/acs.macromol.8b02360,2T-TTC-BDTFT,1.9,113,,-5.41,-3.53,-1.88,2.58,m-ITIC,-5.52,-3.83,-1.69,,1:1,o-DCB,,16,_,0,125,120,5,PEDOT:PSS,,30,PDINO,,,7.70E-04,5.20E-04,,,,0.97,16.57,69.37,11.15,1114.977073
346,179,link,10.1039/C8TA11484F,PTB7-Th,,,,-5.3,-3.33,-1.97,,ACS8,-5.54,-4.05,-1.49,1.3,1:2,Toluene,,20,_,0,115,25,0,MoOx,,8,PFN,,30,1.47E-04,1.30E-04,,,,0.75,22.5,58.8,9.90,992.25
347,180,link,10.1002/solr.201800291,PB24-3TDC,1.68,87.7,,-5.36,-3.58,-1.78,1.91,ITIC-Th,-5.66,-3.93,-1.73,,1:1.5,CB,,,DIO,0.3,,25,0,PEDOT:PSS,,,C60-bissalt,,,,,,,,0.902,16.8,68,10.30,1030.4448
