,SMILES
71,*Oc1c2sc3c(c2c(O*)c2sc4c(c12)C(c1ccc(*)cc1)(c1ccc(*)cc1)c1cc(C=C2C(=O)c5cc(F)ccc5C2=C(C#N)C#N)sc1-4)C(c1ccc(*)cc1)(c1ccc(*)cc1)c1cc(C=C2C(=O)c4cc(F)ccc4C2=C(C#N)C#N)sc1-3
72,[R4]Oc1c2sc3c(c2c(O[R4])c2sc4c(c12)C(c1ccc([R14])cc1)(c1ccc([R14])cc1)c1cc(/C=C2\C(=O)c5cc(F)c(F)cc5C2=C(C#N)C#N)sc1-4)C(c1ccc([R14])cc1)(c1ccc([R14])cc1)c1cc(/C=C2\C(=O)c4cc(F)c(F)cc4C2=C(C#N)C#N)sc1-3
73,[R4]Oc1c2sc3c(c2c(O[R4])c2sc4c(c12)C(c1ccc([R14])cc1)(c1ccc([R14])cc1)c1cc(/C=C2\C(=O)c5ccccc5C2=C(C#N)C#N)sc1-4)C(c1ccc([R14])cc1)(c1ccc([R14])cc1)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3
74,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=c6\sc(=C(C#N)C#N)n(CC)c6=O)c6nsnc56)cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(-c3ccc(/C=c5\sc(=C(C#N)C#N)n(CC)c5=O)c5nsnc35)sc2-4)cc1
75,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3-c3sc(-c5ccc(C=O)c6nc(-c7ccccc7)c(-c7ccccc7)nc56)cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(-c3ccc(C=O)c5nc(-c6ccccc6)c(-c6ccccc6)nc35)sc2-4)cc1
76,[R14]C1([R14])c2cc3c(cc2-c2sc(-c4ccc(C=O)c5nc(-c6ccccc6)c(-c6ccccc6)nc45)cc21)C([R14])([R14])c1cc(-c2ccc(C=O)c4nc(-c5ccccc5)c(-c5ccccc5)nc24)sc1-3
77,[R14]n1nc2c(/C=c3\sc(=C(C#N)C#N)n(CC)c3=O)ccc(-c3ccc4c(c3)C3(c5ccccc5-c5ccccc53)c3cc(-c5ccc(/C=c6\sc(=C(C#N)C#N)n(CC)c6=O)c6nn([R14])nc56)ccc3-4)c2n1
78,[R14]n1nc2c(/C=C3\SC(=S)N(CC)C3=O)ccc(-c3ccc4c(c3)C3(c5ccccc5-c5ccccc53)c3cc(-c5ccc(/C=C6\SC(=S)N(CC)C6=O)c6nn([R14])nc56)ccc3-4)c2n1
79,[R14]n1nc2c(C=C(C#N)C#N)ccc(-c3ccc4c(c3)C3(c5ccccc5-c5ccccc53)c3cc(-c5ccc(C=C(C#N)C#N)c6nn([R14])nc56)ccc3-4)c2n1
80,[R2]C1([R2])c2cc3c(cc2-c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5ccccc5C2=C(C#N)C#N)cc1C4([R2])[R2])C([R2])([R2])c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3
81,*C1(*)c2cc3c(cc2-c2cc4c(cc21)-c1sc(C=C2C(=O)c5cc(F)ccc5C2=C(C#N)C#N)cc1C4(*)*)C(*)(*)c1cc(C=C2C(=O)c4cc(F)ccc4C2=C(C#N)C#N)sc1-3
82,*C1(*)c2cc3c(cc2-c2cc4c(cc21)-c1sc(C=C2C(=O)c5cc(Cl)ccc5C2=C(C#N)C#N)cc1C4(*)*)C(*)(*)c1cc(C=C2C(=O)c4cc(Cl)ccc4C2=C(C#N)C#N)sc1-3
83,*C1(*)c2cc3c(cc2-c2cc4c(cc21)-c1sc(C=C2C(=O)c5cc(Br)ccc5C2=C(C#N)C#N)cc1C4(*)*)C(*)(*)c1cc(C=C2C(=O)c4cc(Br)ccc4C2=C(C#N)C#N)sc1-3
84,*c1ccc(C2(c3ccc(*)cc3)c3cc4c(cc3-c3sc5cc(C=C6C(=O)c7cc(Cl)ccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(*)cc2)(c2ccc(*)cc2)c2c-4sc3cc(C=C4C(=O)c5cc(Cl)ccc5C4=C(C#N)C#N)sc23)cc1
85,*c1ccc(C2(c3ccc(*)cc3)c3cc4c(cc3-c3sc5cc(C=C6C(=O)c7cc(Br)ccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(*)cc2)(c2ccc(*)cc2)c2c-4sc3cc(C=C4C(=O)c5cc(Br)ccc5C4=C(C#N)C#N)sc23)cc1
86,*c1ccc(C2(c3ccc(*)cc3)c3cc4c(cc3-c3sc5cc(C=C6C(=O)c7cc(I)ccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(*)cc2)(c2ccc(*)cc2)c2c-4sc3cc(C=C4C(=O)c5cc(I)ccc5C4=C(C#N)C#N)sc23)cc1
87,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3sc4cc5c6c(sc5cc4c32)-c2sc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc([R14])cc2)c2ccc([R14])cc2)cc1
