Donor,SMILES,SMILES w/o R_group replacement,SMILES w/o R_group,Big_SMILES,SELFIES
PBDT-FBT,Cc1cc2c(-c3ccc([Co])s3)c3sc(-c4sc(-c5c(F)c(F)c(-c6cc([Ti])c(C)s6)c6nsnc56)cc4[Ti])cc3c(-c3ccc([Co])s3)c2s1,[R7]c%97sc(c%98c%99cc(C)sc%99c(c1sc([R7])cc1)c1cc(c2c([R2])cc(c3c4nsnc4c(c4cc([R2])c(C)s4)c(F)c3F)s2)sc1%98)cc%97, ,{[$]c1cc2c(-c3ccc([Co])s3)c3sc(-c4sc(-c5c(F)c(F)c(-c6cc([Ti])c([$])s6)c6nsnc56)cc4[Ti])cc3c(-c3ccc([Co])s3)c2s1},[C][C][=C][C][=C][Branch1][O][C][=C][C][=C][Branch1][C][Co][S][Ring1][=Branch1][C][S][C][Branch2][Ring2][S][C][S][C][Branch2][Ring2][Ring2][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch1][=C][C][=C][C][Branch1][C][Ti][=C][Branch1][C][C][S][Ring1][#Branch1][C][=N][S][N][=C][Ring2][Ring1][C][Ring1][Branch1][=C][C][=Ring2][Ring1][#Branch1][Ti][=C][C][=Ring2][Ring1][=N][C][Branch1][O][C][=C][C][=C][Branch1][C][Co][S][Ring1][=Branch1][=C][Ring2][Ring2][=N][S][Ring2][Ring2][S]
PBDTS-FBT,Cc1cc2c(-c3ccc(S[Co])s3)c3sc(-c4sc(-c5c(F)c(F)c(-c6cc([Ti])c(C)s6)c6nsnc56)cc4[Ti])cc3c(-c3ccc(S[Co])s3)c2s1,Cc1sc2c(c3sc(S[R7])cc3)c3cc(c4c([R2])cc(c5c6nsnc6c(c6cc([R2])c(C)s6)c(F)c5F)s4)sc3c(c3sc(S[R7])cc3)c2c1, ,{[$]c1cc2c(-c3ccc(S[Co])s3)c3sc(-c4sc(-c5c(F)c(F)c(-c6cc([Ti])c([$])s6)c6nsnc56)cc4[Ti])cc3c(-c3ccc(S[Co])s3)c2s1},[C][C][=C][C][=C][Branch1][N][C][=C][C][=C][Branch1][Ring1][S][Co][S][Ring1][#Branch1][C][S][C][Branch2][Ring2][S][C][S][C][Branch2][Ring2][Ring2][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch1][=C][C][=C][C][Branch1][C][Ti][=C][Branch1][C][C][S][Ring1][#Branch1][C][=N][S][N][=C][Ring2][Ring1][C][Ring1][Branch1][=C][C][=Ring2][Ring1][#Branch1][Ti][=C][C][=Ring2][Ring1][=N][C][Branch1][N][C][=C][C][=C][Branch1][Ring1][S][Co][S][Ring1][#Branch1][=C][Ring2][Ring2][#C][S][Ring2][Branch1][C]
PBDTF-FBT,Cc1cc2c(-c3cc(F)c([Co])s3)c3sc(-c4sc(-c5c(F)c(F)c(-c6cc([Ti])c(C)s6)c6nsnc56)cc4[Ti])cc3c(-c3cc(F)c(S)s3)c2s1,[R7]c1sc(c2c3cc(C)sc3c(c3sc(S)c(F)c3)c3cc(c4c([R2])cc(c5c6nsnc6c(c6cc([R2])c(C)s6)c(F)c5F)s4)sc32)cc1F, ,{[$]c1cc2c(-c3cc(F)c([Co])s3)c3sc(-c4sc(-c5c(F)c(F)c(-c6cc([Ti])c([$])s6)c6nsnc56)cc4[Ti])cc3c(-c3cc(F)c(S)s3)c2s1},[C][C][=C][C][=C][Branch1][=C][C][=C][C][Branch1][C][F][=C][Branch1][C][Co][S][Ring1][#Branch1][C][S][C][Branch2][Ring2][S][C][S][C][Branch2][Ring2][Ring2][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch1][=C][C][=C][C][Branch1][C][Ti][=C][Branch1][C][C][S][Ring1][#Branch1][C][=N][S][N][=C][Ring2][Ring1][C][Ring1][Branch1][=C][C][=Ring2][Ring1][#Branch1][Ti][=C][C][=Ring2][Ring1][=N][C][Branch1][=C][C][=C][C][Branch1][C][F][=C][Branch1][C][S][S][Ring1][#Branch1][=C][Ring2][Ring2][#C][S][Ring2][Branch1][C]
PBDTSF-FBT,Cc1cc2c(-c3cc(F)c(S[Co])s3)c3sc(-c4sc(-c5c(F)c(F)c(-c6cc([Ti])c(C)s6)c6nsnc56)cc4[Ti])cc3c(-c3cc(F)c(S[Co])s3)c2s1,Cc1sc2c(c3sc(S[R7])c(F)c3)c3cc(c4c([R2])cc(c5c6nsnc6c(c6cc([R2])c(C)s6)c(F)c5F)s4)sc3c(c3sc(S[R7])c(F)c3)c2c1, ,{[$]c1cc2c(-c3cc(F)c(S[Co])s3)c3sc(-c4sc(-c5c(F)c(F)c(-c6cc([Ti])c([$])s6)c6nsnc56)cc4[Ti])cc3c(-c3cc(F)c(S[Co])s3)c2s1},[C][C][=C][C][=C][Branch1][#C][C][=C][C][Branch1][C][F][=C][Branch1][Ring1][S][Co][S][Ring1][Branch2][C][S][C][Branch2][Ring2][S][C][S][C][Branch2][Ring2][Ring2][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch1][=C][C][=C][C][Branch1][C][Ti][=C][Branch1][C][C][S][Ring1][#Branch1][C][=N][S][N][=C][Ring2][Ring1][C][Ring1][Branch1][=C][C][=Ring2][Ring1][#Branch1][Ti][=C][C][=Ring2][Ring1][=N][C][Branch1][#C][C][=C][C][Branch1][C][F][=C][Branch1][Ring1][S][Co][S][Ring1][Branch2][=C][Ring2][Ring2][P][S][Ring2][Branch1][Ring2]
J52-F,Cc1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc(F)c([Cr])s6)c6sc(C)cc6c(-c6cc(F)c([Cr])s6)c5s4)s3)c3nn([Sc])nc23)s1,[R4]c1sc(c2c3cc(C)sc3c(c3sc([R4])c(F)c3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc32)cc1F, ,{[$]c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc(F)c([Cr])s6)c6sc([$])cc6c(-c6cc(F)c([Cr])s6)c5s4)s3)c3nn([Sc])nc23)s1},[C][C][=C][C][=C][Branch2][#Branch1][O][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][Branch1][P][C][=C][C][=C][Branch2][Branch1][=Branch1][C][=C][C][=C][Branch1][=C][C][=C][C][Branch1][C][F][=C][Branch1][C][Cr][S][Ring1][#Branch1][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][=C][C][=C][C][Branch1][C][F][=C][Branch1][C][Cr][S][Ring1][#Branch1][=C][Ring2][Ring1][Branch2][S][Ring2][Ring1][O][S][Ring2][Ring1][S][C][=N][N][Branch1][C][Sc][N][=C][Ring2][Ring2][N][Ring1][=Branch1][S][Ring2][Ring2][P]
J52-FS,Cc1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc(F)c(S[Cr])s6)c6sc(C)cc6c(-c6cc(F)c(S[Cr])s6)c5s4)s3)c3nn([Sc])nc23)s1,Cc1sc2c(c3sc(S[R4])c(F)c3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c(c3sc(S[R4])c(F)c3)c2c1, ,{[$]c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc(F)c(S[Cr])s6)c6sc([$])cc6c(-c6cc(F)c(S[Cr])s6)c5s4)s3)c3nn([Sc])nc23)s1},[C][C][=C][C][=C][Branch2][#Branch1][=N][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][=Branch1][Ring1][C][=C][C][=C][Branch2][Branch1][Branch2][C][=C][C][=C][Branch1][#C][C][=C][C][Branch1][C][F][=C][Branch1][Ring1][S][Cr][S][Ring1][Branch2][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][#C][C][=C][C][Branch1][C][F][=C][Branch1][Ring1][S][Cr][S][Ring1][Branch2][=C][Ring2][Ring1][#Branch2][S][Ring2][Ring1][=N][S][Ring2][Ring2][C][C][=N][N][Branch1][C][Sc][N][=C][Ring2][Ring2][=C][Ring1][=Branch1][S][Ring2][Branch1][Ring1]
J61-F,Cc1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(S[Mn])s6)c6sc(C)cc6c(-c6ccc(S[Mn])s6)c5s4)o3)c3nn([Sc])nc23)o1,Cc1sc2c(c3sc(S[R5])cc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)o6)c(F)c5F)o4)sc3c(c3sc(S[R5])cc3)c2c1, ,{[$]c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(S[Mn])s6)c6sc([$])cc6c(-c6ccc(S[Mn])s6)c5s4)o3)c3nn([Sc])nc23)o1},[C][C][=C][C][=C][Branch2][#Branch1][#Branch1][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][Branch1][=N][C][=C][C][=C][Branch2][Branch1][C][C][=C][C][=C][Branch1][N][C][=C][C][=C][Branch1][Ring1][S][Mn][S][Ring1][#Branch1][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][N][C][=C][C][=C][Branch1][Ring1][S][Mn][S][Ring1][#Branch1][=C][Ring2][Ring1][Branch2][S][Ring2][Ring1][O][O][Ring2][Ring1][S][C][=N][N][Branch1][C][Sc][N][=C][Ring2][Ring2][N][Ring1][=Branch1][O][Ring2][Ring2][P]
J70,Cc1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Ni])s6)c6sc(C)cc6c(-c6ccc([Ni])s6)c5s4)s3)c3nn([Sc])nc23)s1,[R8]c1sc(c2c3cc(C)sc3c(c3sc([R8])cc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc32)cc1, ,{[$]c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Ni])s6)c6sc([$])cc6c(-c6ccc([Ni])s6)c5s4)s3)c3nn([Sc])nc23)s1},[C][C][=C][C][=C][Branch2][#Branch1][Branch1][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][Branch1][O][C][=C][C][=C][Branch2][Ring2][S][C][=C][C][=C][Branch1][O][C][=C][C][=C][Branch1][C][Ni][S][Ring1][=Branch1][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][O][C][=C][C][=C][Branch1][C][Ni][S][Ring1][=Branch1][=C][Ring2][Ring1][=Branch1][S][Ring2][Ring1][=Branch2][S][Ring2][Ring1][=C][C][=N][N][Branch1][C][Sc][N][=C][Ring2][Ring2][#Branch2][Ring1][=Branch1][S][Ring2][Ring2][#C]
J72,Cc1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Cu])s6)c6sc(C)cc6c(-c6ccc([Cu])s6)c5s4)s3)c3nn([Sc])nc23)s1,[R9]c1sc(c2c3cc(C)sc3c(c3sc([R9])cc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc32)cc1, ,{[$]c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Cu])s6)c6sc([$])cc6c(-c6ccc([Cu])s6)c5s4)s3)c3nn([Sc])nc23)s1},[C][C][=C][C][=C][Branch2][#Branch1][Branch1][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][Branch1][O][C][=C][C][=C][Branch2][Ring2][S][C][=C][C][=C][Branch1][O][C][=C][C][=C][Branch1][C][Cu][S][Ring1][=Branch1][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][O][C][=C][C][=C][Branch1][C][Cu][S][Ring1][=Branch1][=C][Ring2][Ring1][=Branch1][S][Ring2][Ring1][=Branch2][S][Ring2][Ring1][=C][C][=N][N][Branch1][C][Sc][N][=C][Ring2][Ring2][#Branch2][Ring1][=Branch1][S][Ring2][Ring2][#C]
J73,Cc1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Zn])s6)c6sc(C)cc6c(-c6ccc([Zn])s6)c5s4)s3)c3nn([Sc])nc23)s1,[R10]c1sc(c2c3cc(C)sc3c(c3sc([R10])cc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc32)cc1, ,{[$]c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Zn])s6)c6sc([$])cc6c(-c6ccc([Zn])s6)c5s4)s3)c3nn([Sc])nc23)s1},[C][C][=C][C][=C][Branch2][#Branch1][Branch1][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][Branch1][O][C][=C][C][=C][Branch2][Ring2][S][C][=C][C][=C][Branch1][O][C][=C][C][=C][Branch1][C][Zn][S][Ring1][=Branch1][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][O][C][=C][C][=C][Branch1][C][Zn][S][Ring1][=Branch1][=C][Ring2][Ring1][=Branch1][S][Ring2][Ring1][=Branch2][S][Ring2][Ring1][=C][C][=N][N][Branch1][C][Sc][N][=C][Ring2][Ring2][#Branch2][Ring1][=Branch1][S][Ring2][Ring2][#C]
J74,Cc1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Y])s6)c6sc(C)cc6c(-c6ccc([Y])s6)c5s4)s3)c3nn([Sc])nc23)s1,[R11]c1sc(c2c3cc(C)sc3c(c3sc([R11])cc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc32)cc1, ,{[$]c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Y])s6)c6sc([$])cc6c(-c6ccc([Y])s6)c5s4)s3)c3nn([Sc])nc23)s1},[C][C][=C][C][=C][Branch2][#Branch1][Branch1][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][Branch1][O][C][=C][C][=C][Branch2][Ring2][S][C][=C][C][=C][Branch1][O][C][=C][C][=C][Branch1][C][Y][S][Ring1][=Branch1][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][O][C][=C][C][=C][Branch1][C][Y][S][Ring1][=Branch1][=C][Ring2][Ring1][=Branch1][S][Ring2][Ring1][=Branch2][S][Ring2][Ring1][=C][C][=N][N][Branch1][C][Sc][N][=C][Ring2][Ring2][#Branch2][Ring1][=Branch1][S][Ring2][Ring2][#C]
J62,Cc1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(S[Ti])s6)c6sc(C)cc6c(-c6ccc(S[Ti])s6)c5s4)s3)c3nn([Sc])nc23)s1,Cc1sc2c(c3sc(S[R2])cc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c(c3sc(S[R2])cc3)c2c1, ,{[$]c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(S[Ti])s6)c6sc([$])cc6c(-c6ccc(S[Ti])s6)c5s4)s3)c3nn([Sc])nc23)s1},[C][C][=C][C][=C][Branch2][#Branch1][#Branch1][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][Branch1][=N][C][=C][C][=C][Branch2][Branch1][C][C][=C][C][=C][Branch1][N][C][=C][C][=C][Branch1][Ring1][S][Ti][S][Ring1][#Branch1][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][N][C][=C][C][=C][Branch1][Ring1][S][Ti][S][Ring1][#Branch1][=C][Ring2][Ring1][Branch2][S][Ring2][Ring1][O][S][Ring2][Ring1][S][C][=N][N][Branch1][C][Sc][N][=C][Ring2][Ring2][N][Ring1][=Branch1][S][Ring2][Ring2][P]
J63,Cc1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(S[Zr])s6)c6sc(C)cc6c(-c6ccc(S[Zr])s6)c5s4)s3)c3nn([Sc])nc23)s1,Cc1sc2c(c3sc(S[R12])cc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c(c3sc(S[R12])cc3)c2c1, ,{[$]c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(S[Zr])s6)c6sc([$])cc6c(-c6ccc(S[Zr])s6)c5s4)s3)c3nn([Sc])nc23)s1},[C][C][=C][C][=C][Branch2][#Branch1][#Branch1][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][Branch1][=N][C][=C][C][=C][Branch2][Branch1][C][C][=C][C][=C][Branch1][N][C][=C][C][=C][Branch1][Ring1][S][Zr][S][Ring1][#Branch1][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][N][C][=C][C][=C][Branch1][Ring1][S][Zr][S][Ring1][#Branch1][=C][Ring2][Ring1][Branch2][S][Ring2][Ring1][O][S][Ring2][Ring1][S][C][=N][N][Branch1][C][Sc][N][=C][Ring2][Ring2][N][Ring1][=Branch1][S][Ring2][Ring2][P]
J64,Cc1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(S[Nb])s6)c6sc(C)cc6c(-c6ccc(S[Nb])s6)c5s4)s3)c3nn([Sc])nc23)s1,Cc1sc2c(c3sc(S[R13])cc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c(c3sc(S[R13])cc3)c2c1, ,{[$]c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(S[Nb])s6)c6sc([$])cc6c(-c6ccc(S[Nb])s6)c5s4)s3)c3nn([Sc])nc23)s1},[C][C][=C][C][=C][Branch2][#Branch1][#Branch1][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][Branch1][=N][C][=C][C][=C][Branch2][Branch1][C][C][=C][C][=C][Branch1][N][C][=C][C][=C][Branch1][Ring1][S][Nb][S][Ring1][#Branch1][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][N][C][=C][C][=C][Branch1][Ring1][S][Nb][S][Ring1][#Branch1][=C][Ring2][Ring1][Branch2][S][Ring2][Ring1][O][S][Ring2][Ring1][S][C][=N][N][Branch1][C][Sc][N][=C][Ring2][Ring2][N][Ring1][=Branch1][S][Ring2][Ring2][P]
PBDT-DODTBT,Cc1ccc(-c2c(O[Ti])c(O[Ti])c(-c3ccc(-c4cc5c(O[Cr])c6sc(C)cc6c(O[Cr])c5s4)s3)c3nsnc23)s1,Cc1sc2c(O[R4])c3cc(c4ccc(c5c6nsnc6c(c6ccc(C)s6)c(O[R2])c5O[R2])s4)sc3c(O[R4])c2c1, ,{[$]c1ccc(-c2c(O[Ti])c(O[Ti])c(-c3ccc(-c4cc5c(O[Cr])c6sc([$])cc6c(O[Cr])c5s4)s3)c3nsnc23)s1},[C][C][=C][C][=C][Branch2][=Branch1][C][C][=C][Branch1][Ring1][O][Ti][C][Branch1][Ring1][O][Ti][=C][Branch2][Ring2][=Branch2][C][=C][C][=C][Branch2][Ring1][=C][C][=C][C][=C][Branch1][Ring1][O][Cr][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][Ring1][O][Cr][=C][Ring1][=C][S][Ring1][P][S][Ring2][Ring1][=Branch1][C][=N][S][N][=C][Ring2][Ring2][Ring1][Ring1][Branch1][S][Ring2][Ring2][Branch2]
PBDT-TBT-C6,Cc1cc2c(O[Mn])c3sc(-c4sc(-c5c(O[Ti])c(O[Ti])c(-c6cc([Mo])c(C)s6)c6nsnc56)cc4[Mo])cc3c(O[Mn])c2s1,Cc1sc2c(O[R5])c3cc(c4c([R14])cc(c5c6nsnc6c(c6cc([R14])c(C)s6)c(O[R2])c5O[R2])s4)sc3c(O[R5])c2c1, ,{[$]c1cc2c(O[Mn])c3sc(-c4sc(-c5c(O[Ti])c(O[Ti])c(-c6cc([Mo])c([$])s6)c6nsnc56)cc4[Mo])cc3c(O[Mn])c2s1},[C][C][=C][C][=C][Branch1][Ring1][O][Mn][C][S][C][Branch2][Branch1][C][C][S][C][Branch2][Ring2][=Branch1][C][=C][Branch1][Ring1][O][Ti][C][Branch1][Ring1][O][Ti][=C][Branch1][=C][C][=C][C][Branch1][C][Mo][=C][Branch1][C][C][S][Ring1][#Branch1][C][=N][S][N][=C][Ring2][Ring1][Ring2][Ring1][Branch1][=C][C][=Ring2][Ring1][=Branch2][Mo][=C][C][=Ring2][Ring1][#C][C][Branch1][Ring1][O][Mn][=C][Ring2][Ring2][#Branch1][S][Ring2][Ring2][#Branch2]
PBDT-TBT-C8,Cc1cc2c(O[Mn])c3sc(-c4sc(-c5c(O[Ti])c(O[Ti])c(-c6cc([Ti])c(C)s6)c6nsnc56)cc4[Ti])cc3c(O[Mn])c2s1,Cc1sc2c(O[R5])c3cc(c4c([R2])cc(c5c6nsnc6c(c6cc([R2])c(C)s6)c(O[R2])c5O[R2])s4)sc3c(O[R5])c2c1, ,{[$]c1cc2c(O[Mn])c3sc(-c4sc(-c5c(O[Ti])c(O[Ti])c(-c6cc([Ti])c([$])s6)c6nsnc56)cc4[Ti])cc3c(O[Mn])c2s1},[C][C][=C][C][=C][Branch1][Ring1][O][Mn][C][S][C][Branch2][Branch1][C][C][S][C][Branch2][Ring2][=Branch1][C][=C][Branch1][Ring1][O][Ti][C][Branch1][Ring1][O][Ti][=C][Branch1][=C][C][=C][C][Branch1][C][Ti][=C][Branch1][C][C][S][Ring1][#Branch1][C][=N][S][N][=C][Ring2][Ring1][Ring2][Ring1][Branch1][=C][C][=Ring2][Ring1][=Branch2][Ti][=C][C][=Ring2][Ring1][#C][C][Branch1][Ring1][O][Mn][=C][Ring2][Ring2][#Branch1][S][Ring2][Ring2][#Branch2]
PBDT-TBT-C10,Cc1cc2c(O[Mn])c3sc(-c4sc(-c5c(O[Ti])c(O[Ti])c(-c6cc([Tc])c(C)s6)c6nsnc56)cc4[Tc])cc3c(O[Mn])c2s1,Cc1sc2c(O[R5])c3cc(c4c([R15])cc(c5c6nsnc6c(c6cc([R15])c(C)s6)c(O[R2])c5O[R2])s4)sc3c(O[R5])c2c1, ,{[$]c1cc2c(O[Mn])c3sc(-c4sc(-c5c(O[Ti])c(O[Ti])c(-c6cc([Tc])c([$])s6)c6nsnc56)cc4[Tc])cc3c(O[Mn])c2s1},[C][C][=C][C][=C][Branch1][Ring1][O][Mn][C][S][C][Branch2][Branch1][C][C][S][C][Branch2][Ring2][=Branch1][C][=C][Branch1][Ring1][O][Ti][C][Branch1][Ring1][O][Ti][=C][Branch1][=C][C][=C][C][Branch1][C][Tc][=C][Branch1][C][C][S][Ring1][#Branch1][C][=N][S][N][=C][Ring2][Ring1][Ring2][Ring1][Branch1][=C][C][=Ring2][Ring1][=Branch2][Tc][=C][C][=Ring2][Ring1][#C][C][Branch1][Ring1][O][Mn][=C][Ring2][Ring2][#Branch1][S][Ring2][Ring2][#Branch2]
PBDT-TBT-C12,Cc1cc2c(O[Mn])c3sc(-c4sc(-c5c(O[Ti])c(O[Ti])c(-c6cc([Mn])c(C)s6)c6nsnc56)cc4[Mn])cc3c(O[Mn])c2s1,Cc1sc2c(O[R5])c3cc(c4c([R5])cc(c5c6nsnc6c(c6cc([R5])c(C)s6)c(O[R2])c5O[R2])s4)sc3c(O[R5])c2c1, ,{[$]c1cc2c(O[Mn])c3sc(-c4sc(-c5c(O[Ti])c(O[Ti])c(-c6cc([Mn])c([$])s6)c6nsnc56)cc4[Mn])cc3c(O[Mn])c2s1},[C][C][=C][C][=C][Branch1][Ring1][O][Mn][C][S][C][Branch2][Branch1][C][C][S][C][Branch2][Ring2][=Branch1][C][=C][Branch1][Ring1][O][Ti][C][Branch1][Ring1][O][Ti][=C][Branch1][=C][C][=C][C][Branch1][C][Mn][=C][Branch1][C][C][S][Ring1][#Branch1][C][=N][S][N][=C][Ring2][Ring1][Ring2][Ring1][Branch1][=C][C][=Ring2][Ring1][=Branch2][Mn][=C][C][=Ring2][Ring1][#C][C][Branch1][Ring1][O][Mn][=C][Ring2][Ring2][#Branch1][S][Ring2][Ring2][#Branch2]
P0T,Cc1cc2c(-c3cc([Ti])c([Ti])s3)c3sc(-c4c(F)c(F)c(C)c5nsnc45)cc3c(-c3cc([Ti])c([Ti])s3)c2s1,Cc1sc2c(c3sc([R2])c([R2])c3)c3cc(c4c5nsnc5c(C)c(F)c4F)sc3c(c3sc([R2])c([R2])c3)c2c1, ,{[$]c1cc2c(-c3cc([Ti])c([Ti])s3)c3sc(-c4c(F)c(F)c([$])c5nsnc45)cc3c(-c3cc([Ti])c([Ti])s3)c2s1},[C][C][=C][C][=C][Branch1][=C][C][=C][C][Branch1][C][Ti][=C][Branch1][C][Ti][S][Ring1][#Branch1][C][S][C][Branch2][Ring1][#Branch1][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch1][C][C][C][=N][S][N][=C][Ring1][N][Ring1][Branch1][=C][C][=Ring1][P][C][Branch1][=C][C][=C][C][Branch1][C][Ti][=C][Branch1][C][Ti][S][Ring1][#Branch1][=C][Ring2][Ring2][Ring1][S][Ring2][Ring2][=Branch1]
P1T,Cc1cc2c(-c3cc([Ti])c([Ti])s3)c3sc(-c4ccc(-c5c(F)c(F)c(C)c6nsnc56)s4)cc3c(-c3cc([Ti])c([Ti])s3)c2s1,Cc1sc2c(c3sc([R2])c([R2])c3)c3cc(c4ccc(c5c(F)c(F)c(C)c6c5nsn6)s4)sc3c(c3sc([R2])c([R2])c3)c2c1, ,{[$]c1cc2c(-c3cc([Ti])c([Ti])s3)c3sc(-c4ccc(-c5c(F)c(F)c([$])c6nsnc56)s4)cc3c(-c3cc([Ti])c([Ti])s3)c2s1},[C][C][=C][C][=C][Branch1][=C][C][=C][C][Branch1][C][Ti][=C][Branch1][C][Ti][S][Ring1][#Branch1][C][S][C][Branch2][Ring1][P][C][=C][C][=C][Branch2][Ring1][#Branch1][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch1][C][C][C][=N][S][N][=C][Ring1][N][Ring1][Branch1][S][Ring1][P][=C][C][=Ring2][Ring1][=Branch1][C][Branch1][=C][C][=C][C][Branch1][C][Ti][=C][Branch1][C][Ti][S][Ring1][#Branch1][=C][Ring2][Ring2][Branch2][S][Ring2][Ring2][O]
P2T,Cc1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc([Ti])c([Ti])s6)c6sc(C)cc6c(-c6cc([Ti])c([Ti])s6)c5s4)s3)c3nsnc23)s1,Cc1sc2c(c3sc([R2])c([R2])c3)c3cc(c4ccc(c5c(F)c(F)c(c6ccc(C)s6)c6c5nsn6)s4)sc3c(c3sc([R2])c([R2])c3)c2c1, ,{[$]c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc([Ti])c([Ti])s6)c6sc([$])cc6c(-c6cc([Ti])c([Ti])s6)c5s4)s3)c3nsnc23)s1},[C][C][=C][C][=C][Branch2][#Branch1][Branch2][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][Branch1][P][C][=C][C][=C][Branch2][Branch1][=Branch1][C][=C][C][=C][Branch1][=C][C][=C][C][Branch1][C][Ti][=C][Branch1][C][Ti][S][Ring1][#Branch1][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch1][=C][C][=C][C][Branch1][C][Ti][=C][Branch1][C][Ti][S][Ring1][#Branch1][=C][Ring2][Ring1][Branch2][S][Ring2][Ring1][O][S][Ring2][Ring1][S][C][=N][S][N][=C][Ring2][Ring2][O][Ring1][Branch1][S][Ring2][Ring2][S]
