ID,Ref,PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),'-HOMO_n(eV),'-LUMO_n(eV),Eg_n(eV),n(SMILES),M (g/mol),'-HOMO_p(eV),'-LUMO_p(eV),Eg_p(eV),p(SMILES),Mw (kg/mol),Mn(kg/mol),PDI\,DonorAcceptor
26,10,3.57,3.42,11.98,0.5,0.6,5.58,4.06,1.52,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(C(C#N)=C(C#N)C#N)s5)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(C(C#N)=C(C#N)C#N)s3)sc2-4)cc1,1273.79,5.17,3.59,1.58,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124.0,72.9,1.70 \,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(C(C#N)=C(C#N)C#N)s5)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(C(C#N)=C(C#N)C#N)s3)sc2-4)cc1
27,11,3.6,3.6,9.1,0.45,0.88,6.07,3.94,2.13,CCCCCCC(CCCC)CCN1C(=O)c2cccc3c(-c4ccc(-c5ccc6c(c5)C(=O)c5cc(-c7ccc(-c8ccc9c%10c(cccc8%10)C(=O)N(CCC(CCCC)CCCCCC)C9=O)s7)ccc5-6)s4)ccc(c23)C1=O,1099.5,5.2,3.2,2.0,CCCCCCc1cc(C)sc1C,21.1,11.6,1.82 \,CCCCCCc1cc(C)sc1C.CCCCCCC(CCCC)CCN1C(=O)c2cccc3c(-c4ccc(-c5ccc6c(c5)C(=O)c5cc(-c7ccc(-c8ccc9c%10c(cccc8%10)C(=O)N(CCC(CCCC)CCCCCC)C9=O)s7)ccc5-6)s4)ccc(c23)C1=O
28,11,2.5,2.5,7.2,0.41,0.86,6.06,3.98,2.08,CCCCCCCCC(CCCCCC)CCN1C(=O)c2cccc3c(-c4ccc(-c5ccc6c(c5)C(=O)c5cc(-c7ccc(-c8ccc9c%10c(cccc8%10)C(=O)N(CCC(CCCCCC)CCCCCCCC)C9=O)s7)ccc5-6)s4)ccc(c23)C1=O,1211.72,5.2,3.2,2.0,CCCCCCc1cc(C)sc1C,21.1,11.6,1.82 \,CCCCCCc1cc(C)sc1C.CCCCCCCCC(CCCCCC)CCN1C(=O)c2cccc3c(-c4ccc(-c5ccc6c(c5)C(=O)c5cc(-c7ccc(-c8ccc9c%10c(cccc8%10)C(=O)N(CCC(CCCCCC)CCCCCCCC)C9=O)s7)ccc5-6)s4)ccc(c23)C1=O
29,11,0.6,0.6,3.0,0.36,0.56,6.14,4.21,1.93,CCCCCCC(CCCC)CCN1C(=O)c2cccc3c(-c4ccc(-c5ccc6c(c5)C(=C(C#N)C#N)c5cc(-c7ccc(-c8ccc9c%10c(cccc8%10)C(=O)N(CCC(CCCC)CCCCCC)C9=O)s7)ccc5-6)s4)ccc(c23)C1=O,1147.55,5.2,3.2,2.0,CCCCCCc1cc(C)sc1C,21.1,11.6,1.82 \,CCCCCCc1cc(C)sc1C.CCCCCCC(CCCC)CCN1C(=O)c2cccc3c(-c4ccc(-c5ccc6c(c5)C(=C(C#N)C#N)c5cc(-c7ccc(-c8ccc9c%10c(cccc8%10)C(=O)N(CCC(CCCC)CCCCCC)C9=O)s7)ccc5-6)s4)ccc(c23)C1=O
30,12,8.0,7.82,13.94,0.598,0.94,5.89,4.18,1.71,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(-c4ccc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)s4)s3)ccc2-c2sc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)cc21,1051.41,5.41,3.57,1.84,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117.0,58.5,2.00 \,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1.CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(-c4ccc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)s4)s3)ccc2-c2sc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)cc21
31,12,2.75,2.54,7.89,0.374,0.86,5.75,4.26,1.49,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)sc2-c2sc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)cc21,975.32,5.41,3.57,1.84,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117.0,58.5,2.00 \,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1.CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)sc2-c2sc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)cc21
32,13,9.33,9.33,16.56,0.655,0.86,5.41,3.87,1.54,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3sc4cc5c6c(sc5cc4c32)-c2sc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,1427.96,5.41,3.57,1.84,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117.0,58.5,2.00 \,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3sc4cc5c6c(sc5cc4c32)-c2sc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1
33,14,7.51,7.43,14.09,0.553,0.96,5.64,3.94,1.7,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1427.96,5.54,2.97,2.57,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(C#C[Si](C(C)C)(C(C)C)C(C)C)s6)c6sc(C)cc6c(-c6ccc(C#C[Si](C(C)C)(C(C)C)C(C)C)s6)c5o4)s3)c2n1,58.6,48.8,1.20 \,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(C#C[Si](C(C)C)(C(C)C)C(C)C)s6)c6sc(C)cc6c(-c6ccc(C#C[Si](C(C)C)(C(C)C)C(C)C)s6)c5o4)s3)c2n1.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1
34,14,4.38,4.28,9.47,0.509,0.91,5.64,3.94,1.7,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1427.96,5.42,2.95,2.47,CCCCCCCCOc1cccc(-c2nc3c(-c4ccc(C)s4)ccc(-c4ccc(-c5cc6c(-c7ccc(C#C[Si](C(C)C)(C(C)C)C(C)C)s7)c7sc(C)cc7c(-c7ccc(C#C[Si](C(C)C)(C(C)C)C(C)C)s7)c6o5)s4)c3nc2-c2cccc(OCCCCCCCC)c2)c1,66.4,49.2,1.35 \,CCCCCCCCOc1cccc(-c2nc3c(-c4ccc(C)s4)ccc(-c4ccc(-c5cc6c(-c7ccc(C#C[Si](C(C)C)(C(C)C)C(C)C)s7)c7sc(C)cc7c(-c7ccc(C#C[Si](C(C)C)(C(C)C)C(C)C)s7)c6o5)s4)c3nc2-c2cccc(OCCCCCCCC)c2)c1.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1
35,15,10.2,9.8,15.4,0.68,0.97,5.58,4.02,1.56,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1427.96,5.36,3.48,1.88,CCCCCCCCN1C(=O)c2c(-c3cc(CCCCCC)c(C)s3)sc(-c3cc(CCCCCC)c(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c2C1=O,350.0,129.6,2.70 \,CCCCCCCCN1C(=O)c2c(-c3cc(CCCCCC)c(C)s3)sc(-c3cc(CCCCCC)c(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c2C1=O.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1
36,16,7.17,7.17,13.87,0.58,0.9,5.68,3.91,1.77,CCCCCCSc1ccc(C2(c3ccc(SCCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(SCCCCCC)cc2)(c2ccc(SCCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1556.2,5.37,3.59,1.78,CCCCC(CC)CSc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(SCC(CC)CCCC)s3)c3cc(C)sc23)s1,50.0,25.0,2.00 \,CCCCC(CC)CSc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(SCC(CC)CCCC)s3)c3cc(C)sc23)s1.CCCCCCSc1ccc(C2(c3ccc(SCCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(SCCCCCC)cc2)(c2ccc(SCCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1
37,16,7.49,7.49,14.43,0.6,0.9,5.7,3.9,1.8,CCCCCCCCSc1ccc(C2(c3ccc(SCCCCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(SCCCCCCCC)cc2)(c2ccc(SCCCCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1668.41,5.37,3.59,1.78,CCCCC(CC)CSc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(SCC(CC)CCCC)s3)c3cc(C)sc23)s1,50.0,25.0,2.00 \,CCCCC(CC)CSc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(SCC(CC)CCCC)s3)c3cc(C)sc23)s1.CCCCCCCCSc1ccc(C2(c3ccc(SCCCCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(SCCCCCCCC)cc2)(c2ccc(SCCCCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1
38,16,8.94,8.94,15.32,0.64,0.92,5.74,3.86,1.88,CCCCC(CC)CSc1ccc(C2(c3ccc(SCC(CC)CCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(SCC(CC)CCCC)cc2)(c2ccc(SCC(CC)CCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1668.41,5.37,3.59,1.78,CCCCC(CC)CSc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(SCC(CC)CCCC)s3)c3cc(C)sc23)s1,50.0,25.0,2.00 \,CCCCC(CC)CSc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(SCC(CC)CCCC)s3)c3cc(C)sc23)s1.CCCCC(CC)CSc1ccc(C2(c3ccc(SCC(CC)CCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(SCC(CC)CCCC)cc2)(c2ccc(SCC(CC)CCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1
39,17,7.06,6.85,10.7,0.664,1.0,5.51,3.84,1.67,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1427.96,5.44,3.48,1.96,CCCCCCCCCCCCC(CCCCCCCCCC)Cc1cc(-c2cc3c4nonc4c4cc(-c5cc(CC(CCCCCCCCCC)CCCCCCCCCCCC)c(-c6ccc(-c7ccc(C)s7)s6)s5)sc4c3s2)sc1C,122.8,64.3,1.91 \,CCCCCCCCCCCCC(CCCCCCCCCC)Cc1cc(-c2cc3c4nonc4c4cc(-c5cc(CC(CCCCCCCCCC)CCCCCCCCCCCC)c(-c6ccc(-c7ccc(C)s7)s6)s5)sc4c3s2)sc1C.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1
40,17,8.19,7.95,13.3,0.668,0.92,5.69,3.98,1.71,CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,1011.4,5.44,3.48,1.96,CCCCCCCCCCCCC(CCCCCCCCCC)Cc1cc(-c2cc3c4nonc4c4cc(-c5cc(CC(CCCCCCCCCC)CCCCCCCCCCCC)c(-c6ccc(-c7ccc(C)s7)s6)s5)sc4c3s2)sc1C,122.8,64.3,1.91 \,CCCCCCCCCCCCC(CCCCCCCCCC)Cc1cc(-c2cc3c4nonc4c4cc(-c5cc(CC(CCCCCCCCCC)CCCCCCCCCCCC)c(-c6ccc(-c7ccc(C)s7)s6)s5)sc4c3s2)sc1C.CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3
41,18,9.48,9.25,14.27,0.678,0.97,5.46,3.65,1.81,CCCCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c5cc6c(cc5n(C(CCCCCCCC)CCCCCCCC)c4cc3-c3sc(/C=C4/C(=O)c5ccccc5C4=C(C#N)C#N)cc32)-c2sc(/C=C3/C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCCCC)cc2)cc1,1699.46,5.33,2.92,2.41,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117.0,58.5,2.00 \,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1.CCCCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c5cc6c(cc5n(C(CCCCCCCC)CCCCCCCC)c4cc3-c3sc(/C=C4/C(=O)c5ccccc5C4=C(C#N)C#N)cc32)-c2sc(/C=C3/C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCCCC)cc2)cc1
42,19,5.4,5.0,10.4,0.561,0.93,5.8,3.75,2.05,CCCCCC(CCCCC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=C(C1=CC2C(C=C1)c1ccc(-c3cc6c7c(ccc8c9c%10c(c3c87)=CC=C3C(=O)N(C(CCCCC)CCCCC)C(=O)C(C=C9)C3%10)C(=O)N(C(CCCCC)CCCCC)C6=O)cc1C21c2cc(C3=c6c7c(c8ccc9c%10c(ccc6c8%10)C(=O)N(C(CCCCC)CCCCC)C9=O)C=CC6C(=O)N(C(CCCCC)CCCCC)C(=O)C(=C3)C76)ccc2C2C=C(c3cc6c7c(ccc8c9c%10c(c3c78)C=CC3C(=O)N(C(CCCCC)CCCCC)C(=O)C(=CC=9)C%103)C(=O)N(C(CCCCC)CCCCC)C6=O)C=CC21)C=C1C(=O)N(C(CCCCC)CCCCC)C(=O)C(C=C4)C15,3120.26,5.41,3.57,1.84,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117.0,58.5,2.00 \,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1.CCCCCC(CCCCC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=C(C1=CC2C(C=C1)c1ccc(-c3cc6c7c(ccc8c9c%10c(c3c87)=CC=C3C(=O)N(C(CCCCC)CCCCC)C(=O)C(C=C9)C3%10)C(=O)N(C(CCCCC)CCCCC)C6=O)cc1C21c2cc(C3=c6c7c(c8ccc9c%10c(ccc6c8%10)C(=O)N(C(CCCCC)CCCCC)C9=O)C=CC6C(=O)N(C(CCCCC)CCCCC)C(=O)C(=C3)C76)ccc2C2C=C(c3cc6c7c(ccc8c9c%10c(c3c78)C=CC3C(=O)N(C(CCCCC)CCCCC)C(=O)C(=CC=9)C%103)C(=O)N(C(CCCCC)CCCCC)C6=O)C=CC21)C=C1C(=O)N(C(CCCCC)CCCCC)C(=O)C(C=C4)C15
43,19,6.7,6.5,12.4,0.622,0.87,5.81,3.84,1.97,CCCCCC(CCCCC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=C(c1cc(-c2cc3c6c(ccc7c8c9c(c2c67)C=CC2C(=O)N(C(CCCCC)CCCCC)C(=O)C(=CC=8)C92)C(=O)N(C(CCCCC)CCCCC)C3=O)cc(-c2cc3c6c(ccc7c8c9c(c2c76)=CC=C2C(=O)N(C(CCCCC)CCCCC)C(=O)C(C=C8)C29)C(=O)N(C(CCCCC)CCCCC)C3=O)c1)C=C1C(=O)N(C(CCCCC)CCCCC)C(=O)C(C=C4)C15,2174.96,5.41,3.57,1.84,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117.0,58.5,2.00 \,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1.CCCCCC(CCCCC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=C(c1cc(-c2cc3c6c(ccc7c8c9c(c2c67)C=CC2C(=O)N(C(CCCCC)CCCCC)C(=O)C(=CC=8)C92)C(=O)N(C(CCCCC)CCCCC)C3=O)cc(-c2cc3c6c(ccc7c8c9c(c2c76)=CC=C2C(=O)N(C(CCCCC)CCCCC)C(=O)C(C=C8)C29)C(=O)N(C(CCCCC)CCCCC)C3=O)c1)C=C1C(=O)N(C(CCCCC)CCCCC)C(=O)C(C=C4)C15
44,19,7.3,7.0,13.6,0.597,0.9,5.84,3.77,2.07,CCCCCC(CCCCC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=C(c1cc(-c2cc(-c3cc6c7c(ccc8c9c%10c(c3c87)=CC=C3C(=O)N(C(CCCCC)CCCCC)C(=O)C(C=C9)C3%10)C(=O)N(C(CCCCC)CCCCC)C6=O)cc(-c3cc6c7c(ccc8c9c%10c(c3c87)=CC=C3C(=O)N(C(CCCCC)CCCCC)C(=O)C(C=C9)C3%10)C(=O)N(C(CCCCC)CCCCC)C6=O)c2)cc(-c2cc3c6c(ccc7c8c9c(c2c67)C=CC2C(=O)N(C(CCCCC)CCCCC)C(=O)C(=CC=8)C92)C(=O)N(C(CCCCC)CCCCC)C3=O)c1)C=C1C(=O)N(C(CCCCC)CCCCC)C(=O)C(C=C4)C15,2956.05,5.41,3.57,1.84,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117.0,58.5,2.00 \,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1.CCCCCC(CCCCC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=C(c1cc(-c2cc(-c3cc6c7c(ccc8c9c%10c(c3c87)=CC=C3C(=O)N(C(CCCCC)CCCCC)C(=O)C(C=C9)C3%10)C(=O)N(C(CCCCC)CCCCC)C6=O)cc(-c3cc6c7c(ccc8c9c%10c(c3c87)=CC=C3C(=O)N(C(CCCCC)CCCCC)C(=O)C(C=C9)C3%10)C(=O)N(C(CCCCC)CCCCC)C6=O)c2)cc(-c2cc3c6c(ccc7c8c9c(c2c67)C=CC2C(=O)N(C(CCCCC)CCCCC)C(=O)C(=CC=8)C92)C(=O)N(C(CCCCC)CCCCC)C3=O)c1)C=C1C(=O)N(C(CCCCC)CCCCC)C(=O)C(C=C4)C15
45,20,1.57,1.57,3.94,0.46,0.87,5.51,3.84,1.67,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1427.96,5.51,3.82,1.69,CCCCCCC(CCCC)COc1c(OCC(CCCC)CCCCCC)c(-c2cc3sc(C)cc3s2)c2nsnc2c1C,123.2,44.0,2.80 \,CCCCCCC(CCCC)COc1c(OCC(CCCC)CCCCCC)c(-c2cc3sc(C)cc3s2)c2nsnc2c1C.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1
