HOMO_D_eV,LUMO_D_eV,HOMO_A_eV,LUMO_A_eV,PCE_percent,calc_PCE_percent,Voc_V,Jsc_mA_cm_pow_neg_2,FF_percent
-5.51,-3.71,-5.59,-3.5,14.29,14.287,0.89,20.58,78.0
-5.51,-3.71,-5.75,-4.09,13.37,13.193,0.81,22.01,74.0
-5.51,-3.59,-5.66,-4.14,11.5,11.497,0.896,20.05,64.0
-5.5,-3.59,-5.66,-4.14,14.2,14.186,0.9,20.74,76.0
-5.54,-3.6,-5.66,-4.14,11.2,11.2,0.904,20.31,61.0
-5.42,-3.64,-5.6,-4.02,14.1,14.132,0.851,22.35,74.3
-5.56,-3.5,-5.65,-4.1,15.7,15.707,0.83,25.3,74.8
-5.5,-3.75,-5.64,-4.06,13.37,13.327,0.86,20.8,74.5
-5.5,-3.75,-5.62,-3.87,10.64,10.637,1.0,16.1,66.07
-5.33,-3.16,-5.45,-3.61,8.22,8.355,0.96,14.66,59.37
-5.33,-3.16,-5.48,-3.66,10.12,10.341,0.97,15.99,66.67
-5.39,-3.5,-5.45,-3.95,13.42,13.49,0.87,22.44,69.1
-5.39,-3.5,-5.43,-4.04,13.4,13.408,0.82,23.56,69.4
-5.26,-3.63,-5.45,-3.82,3.73,3.734,0.83,9.8,45.9
-5.26,-3.63,-5.35,-3.75,9.54,9.541,0.864,18.56,59.5
-5.52,-3.37,-5.62,-3.96,2.14,2.219,0.99,7.35,30.5
-5.48,-3.42,-5.62,-3.96,7.07,7.061,0.97,15.04,48.4
-5.41,-3.49,-5.62,-3.96,7.26,7.272,0.91,15.7,50.9
-5.41,-3.46,-5.66,-4.14,12.01,11.784,0.804,20.05,73.1
-4.82,-2.47,-4.93,-2.67,0.07,0.069,1.32,0.21,25.0
-4.82,-2.47,-5.34,-3.28,8.6,8.603,1.2,10.39,69.0
-4.82,-2.47,-5.48,-3.61,1.21,1.21,0.85,3.56,40.0
-5.25,-3.59,-5.79,-3.76,5.88,5.815,0.74,12.09,65.0
-5.25,-3.59,-5.83,-3.78,3.47,3.409,0.75,9.67,47.0
-5.4,-3.3,-5.69,-4.14,13.3,13.313,0.91,20.9,70.0
