Donor,Acceptor,PCE_percent,calc_PCE_percent,Voc_V,FF_percent,DA_manual_tokenized,DA_manual_tokenized_aug
PBDB-T,IDT-T-N,7.4,7.4,0.94,56.11,"[0, 0, 49, 7, 100, 9, 1, 237, 64, 7, 219, 221, 219, 7, 64, 237]","[[0, 0, 49, 7, 100, 9, 1, 237, 64, 7, 219, 221, 219, 7, 64, 237], [0, 0, 9, 49, 7, 100, 1, 237, 64, 7, 219, 221, 219, 7, 64, 237], [0, 0, 100, 9, 49, 7, 1, 237, 64, 7, 219, 221, 219, 7, 64, 237], [0, 0, 7, 100, 9, 49, 1, 237, 64, 7, 219, 221, 219, 7, 64, 237]]"
PBDB-T,IDT-EDOT,11.32,11.38,0.86,62.0,"[0, 0, 49, 7, 100, 9, 1, 217, 319, 7, 219, 221, 219, 7, 319, 217]","[[0, 0, 49, 7, 100, 9, 1, 217, 319, 7, 219, 221, 219, 7, 319, 217], [0, 0, 9, 49, 7, 100, 1, 217, 319, 7, 219, 221, 219, 7, 319, 217], [0, 0, 100, 9, 49, 7, 1, 217, 319, 7, 219, 221, 219, 7, 319, 217], [0, 0, 7, 100, 9, 49, 1, 217, 319, 7, 219, 221, 219, 7, 319, 217]]"
PBDB-T,IDT-PDOT,2.18,2.19,0.85,48.9,"[0, 0, 49, 7, 100, 9, 1, 217, 320, 7, 219, 221, 219, 7, 320, 217]","[[0, 0, 49, 7, 100, 9, 1, 217, 320, 7, 219, 221, 219, 7, 320, 217], [0, 0, 9, 49, 7, 100, 1, 217, 320, 7, 219, 221, 219, 7, 320, 217], [0, 0, 100, 9, 49, 7, 1, 217, 320, 7, 219, 221, 219, 7, 320, 217], [0, 0, 7, 100, 9, 49, 1, 217, 320, 7, 219, 221, 219, 7, 320, 217]]"
PBDB-TF,IDT-PhC6,5.6,5.59,1.0,43.0,"[0, 0, 0, 0, 99, 7, 100, 9, 1, 230, 7, 219, 221, 219, 7, 230]","[[0, 0, 0, 0, 99, 7, 100, 9, 1, 230, 7, 219, 221, 219, 7, 230], [0, 0, 0, 0, 9, 99, 7, 100, 1, 230, 7, 219, 221, 219, 7, 230], [0, 0, 0, 0, 100, 9, 99, 7, 1, 230, 7, 219, 221, 219, 7, 230], [0, 0, 0, 0, 7, 100, 9, 99, 1, 230, 7, 219, 221, 219, 7, 230]]"
PTB7-Th,IDT-2BM,3.97,3.99,0.826,52.0,"[0, 0, 0, 0, 49, 101, 1, 305, 56, 7, 219, 221, 219, 7, 56, 305]","[[0, 0, 0, 0, 49, 101, 1, 305, 56, 7, 219, 221, 219, 7, 56, 305], [0, 0, 0, 0, 101, 49, 1, 305, 56, 7, 219, 221, 219, 7, 56, 305]]"
FTAZ,IDCIC,13.58,13.58,0.87,71.03,"[0, 0, 60, 7, 20, 9, 1, 217, 79, 219, 218, 220, 218, 219, 79, 217]","[[0, 0, 60, 7, 20, 9, 1, 217, 79, 219, 218, 220, 218, 219, 79, 217], [0, 0, 9, 60, 7, 20, 1, 217, 79, 219, 218, 220, 218, 219, 79, 217], [0, 0, 20, 9, 60, 7, 1, 217, 79, 219, 218, 220, 218, 219, 79, 217], [0, 0, 7, 20, 9, 60, 1, 217, 79, 219, 218, 220, 218, 219, 79, 217]]"
PBDB-T,FDNCTF,10.0,9.8,0.94,66.0,"[0, 0, 49, 7, 100, 9, 1, 237, 7, 225, 221, 225, 221, 225, 7, 237]","[[0, 0, 49, 7, 100, 9, 1, 237, 7, 225, 221, 225, 221, 225, 7, 237], [0, 0, 9, 49, 7, 100, 1, 237, 7, 225, 221, 225, 221, 225, 7, 237], [0, 0, 100, 9, 49, 7, 1, 237, 7, 225, 221, 225, 221, 225, 7, 237], [0, 0, 7, 100, 9, 49, 1, 237, 7, 225, 221, 225, 221, 225, 7, 237]]"
PBDB-T,FDICTF,11.2,10.99,0.93,72.5,"[0, 0, 49, 7, 100, 9, 1, 222, 7, 225, 221, 225, 221, 225, 7, 222]","[[0, 0, 49, 7, 100, 9, 1, 222, 7, 225, 221, 225, 221, 225, 7, 222], [0, 0, 9, 49, 7, 100, 1, 222, 7, 225, 221, 225, 221, 225, 7, 222], [0, 0, 100, 9, 49, 7, 1, 222, 7, 225, 221, 225, 221, 225, 7, 222], [0, 0, 7, 100, 9, 49, 1, 222, 7, 225, 221, 225, 221, 225, 7, 222]]"
PTB7-Th,DTNR,9.51,9.51,1.08,56.0,"[0, 0, 0, 0, 49, 101, 1, 240, 56, 7, 260, 267, 260, 7, 56, 240]","[[0, 0, 0, 0, 49, 101, 1, 240, 56, 7, 260, 267, 260, 7, 56, 240], [0, 0, 0, 0, 101, 49, 1, 240, 56, 7, 260, 267, 260, 7, 56, 240]]"
PBDB-T,DTNIC6,3.39,3.38,0.96,45.63,"[0, 0, 0, 0, 49, 7, 100, 9, 1, 222, 7, 234, 267, 234, 7, 222]","[[0, 0, 0, 0, 49, 7, 100, 9, 1, 222, 7, 234, 267, 234, 7, 222], [0, 0, 0, 0, 9, 49, 7, 100, 1, 222, 7, 234, 267, 234, 7, 222], [0, 0, 0, 0, 100, 9, 49, 7, 1, 222, 7, 234, 267, 234, 7, 222], [0, 0, 0, 0, 7, 100, 9, 49, 1, 222, 7, 234, 267, 234, 7, 222]]"
PBDB-T,DTNIC8,9.03,9.03,0.96,72.84,"[0, 0, 0, 0, 49, 7, 100, 9, 1, 222, 7, 260, 267, 260, 7, 222]","[[0, 0, 0, 0, 49, 7, 100, 9, 1, 222, 7, 260, 267, 260, 7, 222], [0, 0, 0, 0, 9, 49, 7, 100, 1, 222, 7, 260, 267, 260, 7, 222], [0, 0, 0, 0, 100, 9, 49, 7, 1, 222, 7, 260, 267, 260, 7, 222], [0, 0, 0, 0, 7, 100, 9, 49, 1, 222, 7, 260, 267, 260, 7, 222]]"
PTB7-Th,DTCC-IC,6.0,6.0,0.95,56.2,"[0, 0, 0, 0, 49, 101, 1, 217, 7, 321, 221, 322, 221, 321, 7, 217]","[[0, 0, 0, 0, 49, 101, 1, 217, 7, 321, 221, 322, 221, 321, 7, 217], [0, 0, 0, 0, 101, 49, 1, 217, 7, 321, 221, 322, 221, 321, 7, 217]]"
P3HT,DNIT-TT2T,1.25,1.25,0.88,43.47,"[0, 0, 0, 0, 0, 0, 41, 40, 40, 194, 1, 323, 7, 324, 7, 323]","[[0, 0, 0, 0, 0, 0, 41, 40, 40, 194, 1, 323, 7, 324, 7, 323], [0, 0, 0, 0, 0, 0, 194, 41, 40, 40, 1, 323, 7, 324, 7, 323], [0, 0, 0, 0, 0, 0, 40, 194, 41, 40, 1, 323, 7, 324, 7, 323], [0, 0, 0, 0, 0, 0, 40, 40, 194, 41, 1, 323, 7, 324, 7, 323]]"
P1_BDT-TBT,PY1,4.89,4.89,0.83,56.0,"[0, 0, 0, 0, 39, 7, 56, 9, 1, 325, 40, 40, 369, 40, 40, 325]","[[0, 0, 0, 0, 39, 7, 56, 9, 1, 325, 40, 40, 369, 40, 40, 325], [0, 0, 0, 0, 9, 39, 7, 56, 1, 325, 40, 40, 369, 40, 40, 325], [0, 0, 0, 0, 56, 9, 39, 7, 1, 325, 40, 40, 369, 40, 40, 325], [0, 0, 0, 0, 7, 56, 9, 39, 1, 325, 40, 40, 369, 40, 40, 325]]"
PBDTTT-C-T,DC-IDT2F,3.08,3.08,0.96,50.8,"[0, 0, 0, 0, 49, 112, 1, 222, 28, 221, 219, 221, 219, 221, 28, 222]","[[0, 0, 0, 0, 49, 112, 1, 222, 28, 221, 219, 221, 219, 221, 28, 222], [0, 0, 0, 0, 112, 49, 1, 222, 28, 221, 219, 221, 219, 221, 28, 222]]"
PTB7-Th,TIM-IDT,1.63,1.44,0.6,45.53,"[0, 0, 0, 0, 0, 0, 49, 101, 1, 328, 7, 219, 221, 219, 7, 328]","[[0, 0, 0, 0, 0, 0, 49, 101, 1, 328, 7, 219, 221, 219, 7, 328], [0, 0, 0, 0, 0, 0, 101, 49, 1, 328, 7, 219, 221, 219, 7, 328]]"
PTB7-Th,COTIC-4F,6.4,6.4,0.56,56.3,"[0, 0, 0, 0, 0, 0, 49, 101, 1, 222, 229, 7, 260, 7, 229, 222]","[[0, 0, 0, 0, 0, 0, 49, 101, 1, 222, 229, 7, 260, 7, 229, 222], [0, 0, 0, 0, 0, 0, 101, 49, 1, 222, 229, 7, 260, 7, 229, 222]]"
P3HT,BTA100,1.04,1.04,1.34,47.0,"[0, 0, 41, 40, 40, 194, 1, 333, 334, 7, 219, 221, 219, 7, 334, 333]","[[0, 0, 41, 40, 40, 194, 1, 333, 334, 7, 219, 221, 219, 7, 334, 333], [0, 0, 194, 41, 40, 40, 1, 333, 334, 7, 219, 221, 219, 7, 334, 333], [0, 0, 40, 194, 41, 40, 1, 333, 334, 7, 219, 221, 219, 7, 334, 333], [0, 0, 40, 40, 194, 41, 1, 333, 334, 7, 219, 221, 219, 7, 334, 333]]"
P3HT,BTA101,3.55,3.55,1.19,56.0,"[0, 0, 41, 40, 40, 194, 1, 240, 334, 7, 219, 221, 219, 7, 334, 240]","[[0, 0, 41, 40, 40, 194, 1, 240, 334, 7, 219, 221, 219, 7, 334, 240], [0, 0, 194, 41, 40, 40, 1, 240, 334, 7, 219, 221, 219, 7, 334, 240], [0, 0, 40, 194, 41, 40, 1, 240, 334, 7, 219, 221, 219, 7, 334, 240], [0, 0, 40, 40, 194, 41, 1, 240, 334, 7, 219, 221, 219, 7, 334, 240]]"
P3HT,BTA103,5.31,5.31,0.94,66.0,"[0, 0, 41, 40, 40, 194, 1, 236, 334, 7, 219, 221, 219, 7, 334, 236]","[[0, 0, 41, 40, 40, 194, 1, 236, 334, 7, 219, 221, 219, 7, 334, 236], [0, 0, 194, 41, 40, 40, 1, 236, 334, 7, 219, 221, 219, 7, 334, 236], [0, 0, 40, 194, 41, 40, 1, 236, 334, 7, 219, 221, 219, 7, 334, 236], [0, 0, 40, 40, 194, 41, 1, 236, 334, 7, 219, 221, 219, 7, 334, 236]]"
PTB7-Th,6TIC,11.07,11.06,0.831,66.16,"[0, 0, 0, 0, 0, 0, 49, 101, 1, 222, 79, 219, 79, 219, 79, 222]","[[0, 0, 0, 0, 0, 0, 49, 101, 1, 222, 79, 219, 79, 219, 79, 222], [0, 0, 0, 0, 0, 0, 101, 49, 1, 222, 79, 219, 79, 219, 79, 222]]"
PTB7-Th,COi8DFIC,12.16,12.11,0.68,68.2,"[0, 0, 0, 0, 0, 0, 49, 101, 1, 217, 79, 335, 79, 335, 79, 217]","[[0, 0, 0, 0, 0, 0, 49, 101, 1, 217, 79, 335, 79, 335, 79, 217], [0, 0, 0, 0, 0, 0, 101, 49, 1, 217, 79, 335, 79, 335, 79, 217]]"
PTB7-Th,IDT-2BR,7.7,8.32,0.99,60.0,"[0, 0, 0, 0, 49, 101, 1, 240, 56, 7, 219, 221, 219, 7, 56, 240]","[[0, 0, 0, 0, 49, 101, 1, 240, 56, 7, 219, 221, 219, 7, 56, 240], [0, 0, 0, 0, 101, 49, 1, 240, 56, 7, 219, 221, 219, 7, 56, 240]]"
PTB7-Th,IDT-2BR1,8.7,8.66,0.95,60.0,"[0, 0, 0, 0, 49, 101, 1, 240, 56, 7, 234, 221, 234, 7, 56, 240]","[[0, 0, 0, 0, 49, 101, 1, 240, 56, 7, 234, 221, 234, 7, 56, 240], [0, 0, 0, 0, 101, 49, 1, 240, 56, 7, 234, 221, 234, 7, 56, 240]]"
PTB7-Th,T1,9.82,9.8,0.72,65.0,"[0, 0, 0, 0, 49, 101, 1, 222, 337, 7, 219, 221, 219, 7, 337, 222]","[[0, 0, 0, 0, 49, 101, 1, 222, 337, 7, 219, 221, 219, 7, 337, 222], [0, 0, 0, 0, 101, 49, 1, 222, 337, 7, 219, 221, 219, 7, 337, 222]]"
PTB7-Th,T2,10.1,10.02,0.67,66.0,"[0, 0, 0, 0, 49, 101, 1, 264, 337, 7, 219, 221, 219, 7, 337, 264]","[[0, 0, 0, 0, 49, 101, 1, 264, 337, 7, 219, 221, 219, 7, 337, 264], [0, 0, 0, 0, 101, 49, 1, 264, 337, 7, 219, 221, 219, 7, 337, 264]]"
PTB7-Th,T3,9.43,9.39,0.61,70.0,"[0, 0, 0, 0, 49, 101, 1, 217, 337, 7, 219, 221, 219, 7, 337, 217]","[[0, 0, 0, 0, 49, 101, 1, 217, 337, 7, 219, 221, 219, 7, 337, 217], [0, 0, 0, 0, 101, 49, 1, 217, 337, 7, 219, 221, 219, 7, 337, 217]]"
PTB7-Th,ATT-1,10.07,10.04,0.87,70.0,"[0, 0, 0, 0, 49, 101, 1, 236, 336, 7, 219, 221, 219, 7, 336, 236]","[[0, 0, 0, 0, 49, 101, 1, 236, 336, 7, 219, 221, 219, 7, 336, 236], [0, 0, 0, 0, 101, 49, 1, 236, 336, 7, 219, 221, 219, 7, 336, 236]]"
PBDTT-6ttTPD,ITIC,9.98,9.98,0.942,67.8,"[0, 0, 0, 0, 195, 117, 196, 119, 1, 222, 79, 219, 221, 219, 79, 222]","[[0, 0, 0, 0, 195, 117, 196, 119, 1, 222, 79, 219, 221, 219, 79, 222], [0, 0, 0, 0, 119, 195, 117, 196, 1, 222, 79, 219, 221, 219, 79, 222], [0, 0, 0, 0, 196, 119, 195, 117, 1, 222, 79, 219, 221, 219, 79, 222], [0, 0, 0, 0, 117, 196, 119, 195, 1, 222, 79, 219, 221, 219, 79, 222]]"
PMOT16,ITIC,7.63,7.64,1.001,58.7,"[0, 0, 0, 0, 116, 117, 118, 119, 1, 222, 79, 219, 221, 219, 79, 222]","[[0, 0, 0, 0, 116, 117, 118, 119, 1, 222, 79, 219, 221, 219, 79, 222], [0, 0, 0, 0, 119, 116, 117, 118, 1, 222, 79, 219, 221, 219, 79, 222], [0, 0, 0, 0, 118, 119, 116, 117, 1, 222, 79, 219, 221, 219, 79, 222], [0, 0, 0, 0, 117, 118, 119, 116, 1, 222, 79, 219, 221, 219, 79, 222]]"
PBDTT-6ttTPD,IDIC,8.58,8.58,0.822,65.5,"[0, 0, 0, 0, 195, 117, 196, 119, 1, 222, 7, 234, 221, 234, 7, 222]","[[0, 0, 0, 0, 195, 117, 196, 119, 1, 222, 7, 234, 221, 234, 7, 222], [0, 0, 0, 0, 119, 195, 117, 196, 1, 222, 7, 234, 221, 234, 7, 222], [0, 0, 0, 0, 196, 119, 195, 117, 1, 222, 7, 234, 221, 234, 7, 222], [0, 0, 0, 0, 117, 196, 119, 195, 1, 222, 7, 234, 221, 234, 7, 222]]"
PTZP,IDIC,11.8,11.81,0.9,73.3,"[0, 0, 0, 0, 108, 64, 120, 65, 1, 222, 7, 234, 221, 234, 7, 222]","[[0, 0, 0, 0, 108, 64, 120, 65, 1, 222, 7, 234, 221, 234, 7, 222], [0, 0, 0, 0, 65, 108, 64, 120, 1, 222, 7, 234, 221, 234, 7, 222], [0, 0, 0, 0, 120, 65, 108, 64, 1, 222, 7, 234, 221, 234, 7, 222], [0, 0, 0, 0, 64, 120, 65, 108, 1, 222, 7, 234, 221, 234, 7, 222]]"
PffBT2T-TT,O-IDTBR,10.4,10.36,1.08,67.0,"[0, 0, 81, 121, 22, 122, 1, 240, 56, 7, 225, 221, 225, 7, 56, 240]","[[0, 0, 81, 121, 22, 122, 1, 240, 56, 7, 225, 221, 225, 7, 56, 240], [0, 0, 122, 81, 121, 22, 1, 240, 56, 7, 225, 221, 225, 7, 56, 240], [0, 0, 22, 122, 81, 121, 1, 240, 56, 7, 225, 221, 225, 7, 56, 240], [0, 0, 121, 22, 122, 81, 1, 240, 56, 7, 225, 221, 225, 7, 56, 240]]"
PffBT4T-2OD,EH-IDTBR,9.5,9.49,1.08,60.0,"[0, 69, 22, 95, 7, 9, 1, 240, 56, 7, 260, 221, 260, 7, 56, 240]","[[0, 69, 22, 95, 7, 9, 1, 240, 56, 7, 260, 221, 260, 7, 56, 240], [0, 9, 69, 22, 95, 7, 1, 240, 56, 7, 260, 221, 260, 7, 56, 240], [0, 7, 9, 69, 22, 95, 1, 240, 56, 7, 260, 221, 260, 7, 56, 240], [0, 95, 7, 9, 69, 22, 1, 240, 56, 7, 260, 221, 260, 7, 56, 240], [0, 22, 95, 7, 9, 69, 1, 240, 56, 7, 260, 221, 260, 7, 56, 240]]"
PTB7-Th,IDT-BT-R-CN,5.5,5.47,0.88,50.1,"[0, 0, 0, 0, 49, 101, 1, 338, 56, 7, 219, 221, 219, 7, 56, 338]","[[0, 0, 0, 0, 49, 101, 1, 338, 56, 7, 219, 221, 219, 7, 56, 338], [0, 0, 0, 0, 101, 49, 1, 338, 56, 7, 219, 221, 219, 7, 56, 338]]"
P3HT,I-IDTBTRh,5.38,5.38,0.86,71.0,"[0, 0, 41, 40, 40, 194, 1, 240, 56, 7, 321, 221, 321, 7, 56, 240]","[[0, 0, 41, 40, 40, 194, 1, 240, 56, 7, 321, 221, 321, 7, 56, 240], [0, 0, 194, 41, 40, 40, 1, 240, 56, 7, 321, 221, 321, 7, 56, 240], [0, 0, 40, 194, 41, 40, 1, 240, 56, 7, 321, 221, 321, 7, 56, 240], [0, 0, 40, 40, 194, 41, 1, 240, 56, 7, 321, 221, 321, 7, 56, 240]]"
P3HT,BTA1,5.24,5.24,1.02,70.0,"[0, 0, 41, 40, 40, 194, 1, 240, 18, 7, 219, 221, 219, 7, 18, 240]","[[0, 0, 41, 40, 40, 194, 1, 240, 18, 7, 219, 221, 219, 7, 18, 240], [0, 0, 194, 41, 40, 40, 1, 240, 18, 7, 219, 221, 219, 7, 18, 240], [0, 0, 40, 194, 41, 40, 1, 240, 18, 7, 219, 221, 219, 7, 18, 240], [0, 0, 40, 40, 194, 41, 1, 240, 18, 7, 219, 221, 219, 7, 18, 240]]"
P3HT,BTA2,4.5,4.5,1.22,60.0,"[0, 0, 41, 40, 40, 194, 1, 333, 18, 7, 219, 221, 219, 7, 18, 333]","[[0, 0, 41, 40, 40, 194, 1, 333, 18, 7, 219, 221, 219, 7, 18, 333], [0, 0, 194, 41, 40, 40, 1, 333, 18, 7, 219, 221, 219, 7, 18, 333], [0, 0, 40, 194, 41, 40, 1, 333, 18, 7, 219, 221, 219, 7, 18, 333], [0, 0, 40, 40, 194, 41, 1, 333, 18, 7, 219, 221, 219, 7, 18, 333]]"
J71,ITIC,11.41,11.36,0.94,69.77,"[0, 0, 0, 0, 6, 7, 8, 9, 1, 222, 79, 219, 221, 219, 79, 222]","[[0, 0, 0, 0, 6, 7, 8, 9, 1, 222, 79, 219, 221, 219, 79, 222], [0, 0, 0, 0, 9, 6, 7, 8, 1, 222, 79, 219, 221, 219, 79, 222], [0, 0, 0, 0, 8, 9, 6, 7, 1, 222, 79, 219, 221, 219, 79, 222], [0, 0, 0, 0, 7, 8, 9, 6, 1, 222, 79, 219, 221, 219, 79, 222]]"
P3HT,IDT-2BR,5.12,5.1,0.84,68.1,"[0, 0, 41, 40, 40, 194, 1, 240, 56, 7, 219, 221, 219, 7, 56, 240]","[[0, 0, 41, 40, 40, 194, 1, 240, 56, 7, 219, 221, 219, 7, 56, 240], [0, 0, 194, 41, 40, 40, 1, 240, 56, 7, 219, 221, 219, 7, 56, 240], [0, 0, 40, 194, 41, 40, 1, 240, 56, 7, 219, 221, 219, 7, 56, 240], [0, 0, 40, 40, 194, 41, 1, 240, 56, 7, 219, 221, 219, 7, 56, 240]]"
PBDTTT-EFT,IEICO-4F,10.0,10.01,0.739,59.4,"[0, 0, 0, 0, 49, 101, 1, 217, 229, 7, 219, 221, 219, 7, 229, 217]","[[0, 0, 0, 0, 49, 101, 1, 217, 229, 7, 219, 221, 219, 7, 229, 217], [0, 0, 0, 0, 101, 49, 1, 217, 229, 7, 219, 221, 219, 7, 229, 217]]"
J52,IEICO-4F,9.4,9.4,0.734,58.5,"[0, 0, 10, 7, 8, 9, 1, 217, 229, 7, 219, 221, 219, 7, 229, 217]","[[0, 0, 10, 7, 8, 9, 1, 217, 229, 7, 219, 221, 219, 7, 229, 217], [0, 0, 9, 10, 7, 8, 1, 217, 229, 7, 219, 221, 219, 7, 229, 217], [0, 0, 8, 9, 10, 7, 1, 217, 229, 7, 219, 221, 219, 7, 229, 217], [0, 0, 7, 8, 9, 10, 1, 217, 229, 7, 219, 221, 219, 7, 229, 217]]"
PTB7-Th,IEIC2,5.4,5.05,0.91,50.0,"[0, 0, 0, 0, 49, 101, 1, 222, 339, 7, 219, 221, 219, 7, 339, 222]","[[0, 0, 0, 0, 49, 101, 1, 222, 339, 7, 219, 221, 219, 7, 339, 222], [0, 0, 0, 0, 101, 49, 1, 222, 339, 7, 219, 221, 219, 7, 339, 222]]"
PTB7-Th,IEIC3,7.4,6.9,0.93,58.0,"[0, 0, 0, 0, 49, 101, 1, 222, 40, 7, 219, 221, 219, 7, 40, 222]","[[0, 0, 0, 0, 49, 101, 1, 222, 40, 7, 219, 221, 219, 7, 40, 222], [0, 0, 0, 0, 101, 49, 1, 222, 40, 7, 219, 221, 219, 7, 40, 222]]"
PTB7-Th,IEIC,6.0,5.73,0.95,49.0,"[0, 0, 0, 0, 49, 101, 1, 222, 64, 7, 219, 221, 219, 7, 64, 222]","[[0, 0, 0, 0, 49, 101, 1, 222, 64, 7, 219, 221, 219, 7, 64, 222], [0, 0, 0, 0, 101, 49, 1, 222, 64, 7, 219, 221, 219, 7, 64, 222]]"
PBDB-T,IT-M,12.05,12.05,0.94,73.5,"[0, 0, 0, 0, 49, 7, 100, 9, 1, 230, 79, 219, 221, 219, 79, 230]","[[0, 0, 0, 0, 49, 7, 100, 9, 1, 230, 79, 219, 221, 219, 79, 230], [0, 0, 0, 0, 9, 49, 7, 100, 1, 230, 79, 219, 221, 219, 79, 230], [0, 0, 0, 0, 100, 9, 49, 7, 1, 230, 79, 219, 221, 219, 79, 230], [0, 0, 0, 0, 7, 100, 9, 49, 1, 230, 79, 219, 221, 219, 79, 230]]"
PBDB-T,IT-DM,11.29,11.29,0.97,70.6,"[0, 0, 0, 0, 49, 7, 100, 9, 1, 340, 79, 219, 221, 219, 79, 340]","[[0, 0, 0, 0, 49, 7, 100, 9, 1, 340, 79, 219, 221, 219, 79, 340], [0, 0, 0, 0, 9, 49, 7, 100, 1, 340, 79, 219, 221, 219, 79, 340], [0, 0, 0, 0, 100, 9, 49, 7, 1, 340, 79, 219, 221, 219, 79, 340], [0, 0, 0, 0, 7, 100, 9, 49, 1, 340, 79, 219, 221, 219, 79, 340]]"
PBDB-ST,ITIC-SC6,7.27,7.24,0.9,58.0,"[0, 0, 0, 0, 14, 7, 100, 9, 1, 222, 79, 341, 221, 341, 79, 222]","[[0, 0, 0, 0, 14, 7, 100, 9, 1, 222, 79, 341, 221, 341, 79, 222], [0, 0, 0, 0, 9, 14, 7, 100, 1, 222, 79, 341, 221, 341, 79, 222], [0, 0, 0, 0, 100, 9, 14, 7, 1, 222, 79, 341, 221, 341, 79, 222], [0, 0, 0, 0, 7, 100, 9, 14, 1, 222, 79, 341, 221, 341, 79, 222]]"
PBDB-ST,ITIC-SC8,7.79,7.79,0.9,60.0,"[0, 0, 0, 0, 14, 7, 100, 9, 1, 222, 79, 342, 221, 342, 79, 222]","[[0, 0, 0, 0, 14, 7, 100, 9, 1, 222, 79, 342, 221, 342, 79, 222], [0, 0, 0, 0, 9, 14, 7, 100, 1, 222, 79, 342, 221, 342, 79, 222], [0, 0, 0, 0, 100, 9, 14, 7, 1, 222, 79, 342, 221, 342, 79, 222], [0, 0, 0, 0, 7, 100, 9, 14, 1, 222, 79, 342, 221, 342, 79, 222]]"
PTB7-Th,ITIC-Th,8.7,8.67,0.8,68.0,"[0, 0, 0, 0, 0, 0, 49, 101, 1, 222, 79, 313, 221, 313, 79, 222]","[[0, 0, 0, 0, 0, 0, 49, 101, 1, 222, 79, 313, 221, 313, 79, 222], [0, 0, 0, 0, 0, 0, 101, 49, 1, 222, 79, 313, 221, 313, 79, 222]]"
PDBT-T1,ITIC-Th,9.6,9.59,0.88,67.1,"[0, 0, 0, 0, 149, 7, 100, 9, 1, 222, 79, 313, 221, 313, 79, 222]","[[0, 0, 0, 0, 149, 7, 100, 9, 1, 222, 79, 313, 221, 313, 79, 222], [0, 0, 0, 0, 9, 149, 7, 100, 1, 222, 79, 313, 221, 313, 79, 222], [0, 0, 0, 0, 100, 9, 149, 7, 1, 222, 79, 313, 221, 313, 79, 222], [0, 0, 0, 0, 7, 100, 9, 149, 1, 222, 79, 313, 221, 313, 79, 222]]"
P2F-EH,ITIC,6.13,6.15,0.983,50.48,"[0, 0, 0, 0, 96, 7, 127, 9, 1, 222, 79, 219, 221, 219, 79, 222]","[[0, 0, 0, 0, 96, 7, 127, 9, 1, 222, 79, 219, 221, 219, 79, 222], [0, 0, 0, 0, 9, 96, 7, 127, 1, 222, 79, 219, 221, 219, 79, 222], [0, 0, 0, 0, 127, 9, 96, 7, 1, 222, 79, 219, 221, 219, 79, 222], [0, 0, 0, 0, 7, 127, 9, 96, 1, 222, 79, 219, 221, 219, 79, 222]]"
P2F-EO,ITIC,6.73,6.73,1.013,52.53,"[0, 0, 0, 0, 96, 7, 129, 9, 1, 222, 79, 219, 221, 219, 79, 222]","[[0, 0, 0, 0, 96, 7, 129, 9, 1, 222, 79, 219, 221, 219, 79, 222], [0, 0, 0, 0, 9, 96, 7, 129, 1, 222, 79, 219, 221, 219, 79, 222], [0, 0, 0, 0, 129, 9, 96, 7, 1, 222, 79, 219, 221, 219, 79, 222], [0, 0, 0, 0, 7, 129, 9, 96, 1, 222, 79, 219, 221, 219, 79, 222]]"
P2F-Ehp,IT-F,10.06,10.04,0.959,61.94,"[0, 0, 0, 0, 96, 7, 128, 9, 1, 264, 79, 219, 221, 219, 79, 264]","[[0, 0, 0, 0, 96, 7, 128, 9, 1, 264, 79, 219, 221, 219, 79, 264], [0, 0, 0, 0, 9, 96, 7, 128, 1, 264, 79, 219, 221, 219, 79, 264], [0, 0, 0, 0, 128, 9, 96, 7, 1, 264, 79, 219, 221, 219, 79, 264], [0, 0, 0, 0, 7, 128, 9, 96, 1, 264, 79, 219, 221, 219, 79, 264]]"
P2F-Ehp,IT-2F,12.96,12.97,0.891,74.09,"[0, 0, 0, 0, 96, 7, 128, 9, 1, 217, 79, 219, 221, 219, 79, 217]","[[0, 0, 0, 0, 96, 7, 128, 9, 1, 217, 79, 219, 221, 219, 79, 217], [0, 0, 0, 0, 9, 96, 7, 128, 1, 217, 79, 219, 221, 219, 79, 217], [0, 0, 0, 0, 128, 9, 96, 7, 1, 217, 79, 219, 221, 219, 79, 217], [0, 0, 0, 0, 7, 128, 9, 96, 1, 217, 79, 219, 221, 219, 79, 217]]"
PB3T,IT-M,11.9,11.91,1.0,63.0,"[0, 0, 0, 0, 34, 130, 7, 131, 1, 230, 79, 219, 221, 219, 79, 230]","[[0, 0, 0, 0, 34, 130, 7, 131, 1, 230, 79, 219, 221, 219, 79, 230], [0, 0, 0, 0, 131, 34, 130, 7, 1, 230, 79, 219, 221, 219, 79, 230], [0, 0, 0, 0, 7, 131, 34, 130, 1, 230, 79, 219, 221, 219, 79, 230], [0, 0, 0, 0, 130, 7, 131, 34, 1, 230, 79, 219, 221, 219, 79, 230]]"
PBDB-T,IT-M,12.1,12.1,0.953,73.2,"[0, 0, 0, 0, 49, 7, 100, 9, 1, 230, 79, 219, 221, 219, 79, 230]","[[0, 0, 0, 0, 49, 7, 100, 9, 1, 230, 79, 219, 221, 219, 79, 230], [0, 0, 0, 0, 9, 49, 7, 100, 1, 230, 79, 219, 221, 219, 79, 230], [0, 0, 0, 0, 100, 9, 49, 7, 1, 230, 79, 219, 221, 219, 79, 230], [0, 0, 0, 0, 7, 100, 9, 49, 1, 230, 79, 219, 221, 219, 79, 230]]"
