Acceptor,SMILES,SMILES w/o R_group replacement,BigSMILES,SELFIES,SMILES w/o R_group
BDTS-4Cl,CCCCCCCC[Si]1(CCCCCCCC)c2cc(/C=C3\C(=O)c4cc(Cl)c(Cl)cc4C3=C(C#N)C#N)sc2-c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6cc7c(s6)-c6sc(/C=C8\C(=O)c9cc(Cl)c(Cl)cc9C8=C(C#N)C#N)cc6[Si]7(CCCCCCCC)CCCCCCCC)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)cc21,[R4]c1sc(c2c3cc(c4sc(c5sc(/C=C6/C(c7c(C6=O)cc(Cl)c(Cl)c7)=C(C#N)/C#N)cc5[Si]5([R2])[R2])c5c4)sc3c(c3sc([R4])cc3)c3cc(c4cc([Si]([R2])(c5c6sc(/C=C7C(c8cc(Cl)c(Cl)cc8C\7=C(C#N)\C#N)=O)c5)[R2])c6s4)sc32)cc1, , , 
BDTC-4Cl,CCCCCCCCC1(CCCCCCCC)c2cc(/C=C3\C(=O)c4cc(Cl)c(Cl)cc4C3=C(C#N)C#N)sc2-c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6cc7c(s6)-c6sc(/C=C8\C(=O)c9cc(Cl)c(Cl)cc9C8=C(C#N)C#N)cc6C7(CCCCCCCC)CCCCCCCC)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)cc21,[R4]c1sc(c2c3cc(c4sc(c5sc(/C=C6/C(c7c(C6=O)cc(Cl)c(Cl)c7)=C(C#N)/C#N)cc5C5([R2])[R2])c5c4)sc3c(c3sc([R4])cc3)c3cc(c4cc(C([R2])(c5c6sc(/C=C7C(c8cc(Cl)c(Cl)cc8C\7=C(C#N)\C#N)=O)c5)[R2])c6s4)sc32)cc1, , , 
BTA701,CCCCCCCCn1nc2c(/C=C/c3ccc(C#N)cc3)ccc(-c3cc4c(s3)-c3cc5c(cc3C4(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)-c3sc(-c4ccc(/C=C/c6ccc(C#N)cc6)c6nn(CCCCCCCC)nc46)cc3C5(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)c2n1,[R14]c1ccc(C(c2cc3c(C(c4ccc([R14])cc4)(c4ccc([R14])cc4)c4cc(c5ccc(/C=C/c6ccc(C#N)cc6)c6c5nn([R2])n6)sc43)cc32)(c2ccc([R14])cc2)c2c3sc(c3ccc(/C=C/c4ccc(C#N)cc4)c4c3nn([R2])n4)c2)cc1, , , 
BTA3,CCCCCCCCn1nc2c(/C=c3\sc(=C(C#N)C#N)n(CC)c3=O)ccc(-c3cc4c(s3)-c3cc5c(cc3C4(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)-c3sc(-c4ccc(/C=c6\sc(=C(C#N)C#N)n(CC)c6=O)c6nn(CCCCCCCC)nc46)cc3C5(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)c2n1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c(c4cc5c(c6sc(c7ccc(/C=C8S/C(N(CC)C\8=O)=C(C#N)/C#N)c8c7nn([R2])n8)cc6C(c6ccc([R14])cc6)5c5ccc([R14])cc5)cc42)sc(c2ccc(/C=C4S/C(N(CC)C\4=O)=C(C#N)/C#N)c4c2nn([R2])n4)c3)cc1, , , 
BTA703,CCCCCCCCn1nc2c(/C=C/C3C(C#N)C(=C(C#N)C#N)OC3(C)C)ccc(-c3cc4c(s3)-c3cc5c(cc3C4(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)-c3sc(-c4ccc(/C=C/C6C(C#N)C(=C(C#N)C#N)OC6(C)C)c6nn(CCCCCCCC)nc46)cc3C5(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)c2n1,CC(C)(C(/C=C/c1ccc(c2sc(c3c4cc(c5sc(c6ccc(/C=C/C7C(C#N)/C(OC7(C)C)=C(C#N)\C#N)c7c6nn([R2])n7)cc5C5(c6ccc([R14])cc6)c6ccc([R14])cc6)c5c3)c(C4(c3ccc([R14])cc3)c3ccc([R14])cc3)c2)c2nn([R2])nc21)C/1C#N)OC1=C(C#N)\C#N, , , 
Py-1,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc3-c3cc4ccc5c6c(cc7ccc(c32)c4c75)-c2sc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(/C=C4C(c5cc(F)c(F)cc5C\4=C(C#N)\C#N)=O)sc3c3c2c2ccc(cc(c4c(C(c5ccc([R14])cc5)5c6ccc([R14])cc6)cc(/C=C6C(c7c(C\6=C(C#N)\C#N)cc(F)c(F)c7)=O)s4)c5c4cc5)c4c2c5c3)cc1, , , 
Py-2,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc3-c3cc4ccc5cc6c(c7ccc(c32)c4c57)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc2-6)cc1,O=C(c1cc(F)c(F)cc1C/1=C(C#N)/C#N)C1=C/c1cc(C(c2ccc([R14])cc2)2c3ccc([R14])cc3)c(c3c2c2ccc(c4c52)c(C(c2ccc([R14])cc2)(c2c6sc(/C=C7/C(c8c(C7=O)cc(F)c(F)c8)=C(C#N)/C#N)c2)c2ccc([R14])cc2)c6cc4ccc5c3)s1, , , 
ICz-Rd2,CCCCC(CC)Cn1c2cc(-c3ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc34)ccc2c2cc3c(cc21)c1ccc(-c2ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc24)cc1n3CC(CC)CCCC,O=C(/C(S1)=C/c2ccc(c3cc4n([R4])c5cc6c7ccc(c8ccc(/C=C9SC(N(CC)C\9=O)=S)c9c8nsn9)cc7n([R4])c6cc5c4cc3)c3c2nsn3)N(CC)C1=S, , , 
ICz-RdCN2,CCCCC(CC)Cn1c2cc(-c3ccc(/C=c4\sc(=C(C#N)C#N)n(CC)c4=O)c4nsnc34)ccc2c2cc3c(cc21)c1ccc(-c2ccc(/C=c4\sc(=C(C#N)C#N)n(CC)c4=O)c4nsnc24)cc1n3CC(CC)CCCC,O=C(/C(S/1)=C/c2ccc(c3cc4n([R4])c5cc6c7ccc(c8ccc(/C=C9S/C(N(CC)C\9=O)=C(C#N)/C#N)c9c8nsn9)cc7n([R4])c6cc5c4cc3)c3c2nsn3)N(CC)C1=C(C#N)/C#N, , , 
DF-TCIC,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)sc2-c2sc(-c3sc(-c4cc5c(s4)-c4sc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)cc4C5(CC(CC)CCCC)CC(CC)CCCC)c(F)c3F)cc21,O=C1c2c(C(/C1=C/c1sc3c(C([R4])([R4])c4cc(c5sc(c6cc(C7([R4])[R4])c(c8c7cc(/C=C7C(c9ccccc9C\7=C(C#N)\C#N)=O)s8)s6)c(F)c5F)sc43)c1)=C(C#N)\C#N)cccc2, , , 
HF-TCIC,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc2-c2sc(-c3sc(-c4cc5c(s4)-c4sc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)cc4C5(CC(CC)CCCC)CC(CC)CCCC)c(F)c3F)cc21,O=C1c2c(C(/C1=C/c1sc3c(C([R4])([R4])c4cc(c5sc(c6cc(C7([R4])[R4])c(c8c7cc(/C=C7C(c9cc(F)c(F)cc9C\7=C(C#N)\C#N)=O)s8)s6)c(F)c5F)sc43)c1)=C(C#N)\C#N)cc(F)c(F)c2, , , 
m-ITIC-OR-4Cl,CCCCCCOc1cccc(C2(c3cccc(OCCCCCC)c3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(Cl)c(Cl)cc7C6=C(C#N)C#N)sc5c32)C(c2cccc(OCCCCCC)c2)(c2cccc(OCCCCCC)c2)c2c-4sc3cc(/C=C4\C(=O)c5cc(Cl)c(Cl)cc5C4=C(C#N)C#N)sc23)c1,O=C(c1cc(Cl)c(Cl)cc1C/1=C(C#N)/C#N)C1=C/c1sc2c3c(c4cc5c(c6sc7cc(/C=C8C(c9cc(Cl)c(Cl)cc9C\8=C(C#N)\C#N)=O)sc7c6C(c6cc(O[R14])ccc6)5c5cccc(O[R14])c5)cc4C3(c3cc(O[R14])ccc3)c3cccc(O[R14])c3)sc2c1, , , 
BIBT-NI,CCCCC(CC)CN1C(=O)c2c(c(-c3ccc(-c4ccc5c6c(cccc46)C(=O)N(CC(CC)CCCC)C5=O)s3)c3nsnc3c2-c2ccc(-c3ccc4c5c(cccc35)C(=O)N(CC(CC)CCCC)C4=O)s2)C1=O,O=C1N([R4])C(c2c1c(c1sc(c3c4cccc5c4c(C(N([R4])C5=O)=O)cc3)cc1)c1nsnc1c2c1ccc(c2ccc3c4c2cccc4C(N(C3=O)[R4])=O)s1)=O, , , 
ITIC-Th,CCCCCCc1ccc(C2(c3ccc(CCCCCC)s3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)s2)(c2ccc(CCCCCC)s2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)s1,O=C(C1=CC=CC=C1C/1=C(C#N)/C#N)C1=C/C(S1)=CC2=C1C1=C(S2)C2=CC3=C(C(SC4=C5SC(/C=C6C(C7=CC=CC=C7C\6=C(C#N)\C#N)=O)=C4)=C5C(C(S4)=CC=C4[R14])3C3=CC=C([R14])S3)C=C2C1(C1=CC=C([R14])S1)C1=CC=C([R14])S1, , , 
ITIC-Th1,CCCCCCc1ccc(C2(c3ccc(CCCCCC)s3)c3cc4c(cc3-c3sc5cc(C=C6C(=O)c7cc(F)ccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)s2)(c2ccc(CCCCCC)s2)c2c-4sc3cc(C=C4C(=O)c5cc(F)ccc5C4=C(C#N)C#N)sc23)s1,[R14]c1ccc(C2(c3ccc([R14])s3)c3cc4c(cc3c3sc5cc(C=C6C(=O)c7cc(F)ccc7C6=C(C#N)C#N)sc5c32)C(c2ccc([R14])s2)(c2ccc([R14])s2)c2c3sc(C=C5C(=O)c6cc(F)ccc6C5=C(C#N)C#N)cc3sc24)s1, , , 
ITIC-Th2,CCCCCCc1ccc(C2(c3ccc(CCCCCC)s3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)s2)(c2ccc(CCCCCC)s2)c2c-4sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)s1,O=C(c1cc(F)c(F)cc1C/1=C(C#N)/C#N)C1=C/c1sc2c3c(c4cc5c(c6sc7cc(/C=C8C(c9cc(F)c(F)cc9C\8=C(C#N)\C#N)=O)sc7c6C5(c5sc([R14])cc5)c5sc([R14])cc5)cc4C3(c3sc([R14])cc3)c3sc([R14])cc3)sc2c1, , , 
ITIC-Th3,CCCCCCc1ccc(C2(c3ccc(CCCCCC)s3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(OC)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)s2)(c2ccc(CCCCCC)s2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(OC)cc5C4=C(C#N)C#N)sc23)s1,O=C(c1ccc(OC)cc1C/1=C(C#N)/C#N)C1=C/c1sc2c3c(c4cc5c(c6sc7cc(/C=C8C(c9ccc(OC)cc9C\8=C(C#N)\C#N)=O)sc7c6C5(c5sc([R14])cc5)c5sc([R14])cc5)cc4C3(c3sc([R14])cc3)c3sc([R14])cc3)sc2c1, , , 
MeIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7c(csc7C)C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5c(csc5C)C4=C(C#N)C#N)sc23)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c4sc(/C=C5C(c6c(C)scc6C\5=C(C#N)\C#N)=O)cc4sc3c3cc4c(c5sc6cc(/C=C7C(c8c(C)scc8C\7=C(C#N)\C#N)=O)sc6c5C(c5ccc([R14])cc5)4c4ccc([R14])cc4)cc32)cc1, , , 
ITIC5,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5cscc5C4=C(C#N)C#N)sc3-c3sc4cc5c6c(sc5cc4c32)-c2sc(/C=C3\C(=O)c4cscc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,O=C(c1cscc1C/1=C(C#N)/C#N)C1=C/c1sc(c2sc3cc4c(C(c5ccc([R14])cc5)(c5ccc([R14])cc5)c5cc(/C=C6C(c7cscc7C\6=C(C#N)\C#N)=O)sc55)c5sc4cc3c2C2(c3ccc([R14])cc3)c3ccc([R14])cc3)c2c1, , , 
MeIC2,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5c(csc5C)C4=C(C#N)C#N)sc3-c3sc4cc5c6c(sc5cc4c32)-c2sc(/C=C3\C(=O)c4c(csc4C)C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,Cc1scc(C/2=C(C#N)/C#N)c1C(C2=C/c1sc(c2sc3cc4c(C(c5cc(/C=C6C(c7c(C)scc7C\6=C(C#N)\C#N)=O)sc55)(c6ccc([R14])cc6)c6ccc([R14])cc6)c5sc4cc3c2C(c2ccc([R14])cc2)2c3ccc([R14])cc3)c2c1)=O, , , 
DF-PCIC,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)sc2-c2sc(-c3cc(F)c(-c4cc5c(s4)-c4sc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)cc4C5(CC(CC)CCCC)CC(CC)CCCC)cc3F)cc21,[R4]C1(c2c(c3sc(c4c(F)cc(c5sc(c6c(C([R4])7[R4])cc(/C=C8C(c9ccccc9C\8=C(C#N)\C#N)=O)s6)c7c5)c(F)c4)cc13)sc(/C=C1C(c3ccccc3C\1=C(C#N)\C#N)=O)c2)[R4], , , 
DF-PCNC,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(/C=C3\C(=O)c4cc5ccccc5cc4C3=C(C#N)C#N)sc2-c2sc(-c3cc(F)c(-c4cc5c(s4)-c4sc(/C=C6\C(=O)c7cc8ccccc8cc7C6=C(C#N)C#N)cc4C5(CC(CC)CCCC)CC(CC)CCCC)cc3F)cc21,[R4]C1(c2c(c3sc(c4c(F)cc(c5sc(c6c(C([R4])7[R4])cc(/C=C8C(c9cc%10ccccc%10cc9C\8=C(C#N)\C#N)=O)s6)c7c5)c(F)c4)cc13)sc(/C=C1C(c3cc4ccccc4cc3C\1=C(C#N)\C#N)=O)c2)[R4], , , 
IDTIC,CCCCCCCCC(CCCCCC)CC1(CC(CCCCCC)CCCCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CC(CCCCCC)CCCCCCCC)(CC(CCCCCC)CCCCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,[R1]C1([R1])c2cc(/C=C3C(c4ccccc4C\3=C(C#N)\C#N)=O)sc2c2cc3c(c4sc(/C=C5C(c6ccccc6C\5=C(C#N)\C#N)=O)cc4C([R1])3[R1])cc21, , , 
IDTTIC,CCCCCCCCC(CCCCCC)CC1(CC(CCCCCC)CCCCCCCC)c2cc3c(cc2-c2sc4cc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)sc4c21)C(CC(CCCCCC)CCCCCCCC)(CC(CCCCCC)CCCCCCCC)c1c-3sc2cc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)sc12,[R1]C1([R1])c2c3sc(/C=C4C(c5ccccc5C\4=C(C#N)\C#N)=O)cc3sc2c2cc3c(c4sc5cc(/C=C6C(c7ccccc7C\6=C(C#N)\C#N)=O)sc5c4C([R1])3[R1])cc21, , , 
DTFBR,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6\SC(=S)N(CC)C6=O)c6nn(CCCCCC)nc56)cc32)C(CCCCCC)(CCCCCC)c2cc3c(cc2-4)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c4ccc(/C=C5\SC(=S)N(CC)C5=O)c5nn(CCCCCC)nc45)sc2-3)cc1,[R14]C1([R14])c2c(c3cc(C(c4ccc([R14])cc4)(c4c5sc(c6ccc(/C=C7SC(N(CC)C\7=O)=S)c7c6nn([R14])n7)c4)c4ccc([R14])cc4)c5cc31)cc1c(c3c(C1(c1ccc([R14])cc1)c1ccc([R14])cc1)cc(c1c4nn([R14])nc4c(/C=C4C(N(C(S/4)=S)CC)=O)cc1)s3)c2, , , 
TPT-2F,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(C=C5C(=O)c6cc(F)ccc6C5=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(C=C3C(=O)c5cc(F)ccc5C3=C(C#N)C#N)sc2-4)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc4c(cc3c3sc(C=C5C(=O)c6cc(F)ccc6C5=C(C#N)C#N)cc32)C(c2ccc([R14])cc2)(c2ccc([R14])cc2)c2cc(C=C3C(=O)c5cc(F)ccc5C3=C(C#N)C#N)sc24)cc1, , , 
6TIC-4F,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\C(=O)c6cc(F)c(F)cc6C4=C(C#N)C#N)sc3c2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c4sc(/C=C5C(c6cc(F)c(F)cc6C\5=C(C#N)\C#N)=O)cc4sc3c3sc4c5c(c6sc7cc(/C=C8C(c9cc(F)c(F)cc9C\8=C(C#N)\C#N)=O)sc7c6C5(c5ccc([R14])cc5)c5ccc([R14])cc5)sc4c32)cc1, , , 
F6IC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc3-c3sc4c5c(sc4c32)-c2sc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)cc2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(/C=C4C(c5cc(F)c(F)cc5C\4=C(C#N)\C#N)=O)sc3c3sc4c5c(c6sc(/C=C7C(c8cc(F)c(F)cc8C\7=C(C#N)\C#N)=O)cc6C5(c5ccc([R14])cc5)c5ccc([R14])cc5)sc4c32)cc1, , , 
ITBTR-C2,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(-c6ccc(/C=c7\sc(=C(C#N)C#N)n(CC)c7=O)c7nsnc67)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(-c4ccc(/C=c5\sc(=C(C#N)C#N)n(CC)c5=O)c5nsnc45)sc23)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c(c4cc5c(c6sc7cc(c8ccc(/C=C9S/C(N(CC)C\9=O)=C(C#N)/C#N)c9c8nsn9)sc7c6C(c6ccc([R14])cc6)5c5ccc([R14])cc5)cc42)sc2cc(c4ccc(/C=C5S/C(N(CC)C\5=O)=C(C#N)/C#N)c5c4nsn5)sc23)cc1, , , 
ITBTR-C4,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(-c6ccc(/C=c7\sc(=C(C#N)C#N)n(CCCC)c7=O)c7nsnc67)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(-c4ccc(/C=c5\sc(=C(C#N)C#N)n(CCCC)c5=O)c5nsnc45)sc23)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c(c4cc5c(c6sc7cc(c8ccc(/C=C9S/C(N(CCCC)C\9=O)=C(C#N)/C#N)c9c8nsn9)sc7c6C(c6ccc([R14])cc6)5c5ccc([R14])cc5)cc42)sc2cc(c4ccc(/C=C5S/C(N(CCCC)C\5=O)=C(C#N)/C#N)c5c4nsn5)sc23)cc1, , , 
ITBTR-C6,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(-c6ccc(/C=c7\sc(=C(C#N)C#N)n(CCCCCC)c7=O)c7nsnc67)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(-c4ccc(/C=c5\sc(=C(C#N)C#N)n(CCCCCC)c5=O)c5nsnc45)sc23)cc1,[R14]c1ccc(C2(c3c(c4cc5c(c6sc7cc(c8ccc(/C=C9S/C(N(CCCCCC)C\9=O)=C(C#N)/C#N)c9c8nsn9)sc7c6C(c6ccc([R14])cc6)5c5ccc([R14])cc5)cc42)sc2c3sc(c3ccc(/C=C4S/C(N(CCCCCC)C\4=O)=C(C#N)/C#N)c4c3nsn4)c2)c2ccc([R14])cc2)cc1, , , 
N3,CCCCCCCCN1C(=O)c2cc(-c3ccc(C=C4SC(=S)N(CC)C4=O)s3)c3c4c(cc(-c5ccc(C=C6SC(=S)N(CC)C6=O)s5)c(c24)C1=O)C(=O)N(CCCCCCCC)C3=O,[R2]N1C(C2=C3C(C1=O)=C(C4=CC=C(S4)C=C5SC(N(C5=O)CC)=S)C=C(C(N(C6=O)[R2])=O)C3=C6C(C7=CC=C(S7)C=C8SC(N(C8=O)CC)=S)=C2)=O, , , 
N4,CCCCCCCCN1C(=O)c2cc(-c3ccc(C=C4C(=O)c5ccccc5C4=O)s3)c3c4c(cc(-c5ccc(C=C6C(=O)c7ccccc7C6=O)s5)c(c24)C1=O)C(=O)N(CCCCCCCC)C3=O,[R2]N1C(C2=C3C(C1=O)=C(C4=CC=C(S4)C=C5C(C(C=CC=C6)=C6C5=O)=O)C=C(C(N(C7=O)[R2])=O)C3=C7C(C8=CC=C(S8)C=C9C(C(C=CC=C%10)=C%10C9=O)=O)=C2)=O, , , 
N6,CCCCCCCCN1C(=O)C(C#N)=C(C)/C(=C/c2ccc(-c3cc4c5c(c(-c6ccc(/C=C7\C(=O)N(CCCCCCCC)C(=O)C(C#N)=C7C)s6)cc6c5c3C(=O)N(CCCCCCCC)C6=O)C(=O)N(CCCCCCCC)C4=O)s2)C1=O,[R2]N1C(C2=CC(C3=CC=C(/C=C4C(N([R2])C(C(C#N)=C\4C)=O)=O)S3)=C5C6=C2C(C1=O)=C(C=C6C(N([R2])C5=O)=O)C7=CC=C(/C=C8C(N([R2])C(C(C#N)=C\8C)=O)=O)S7)=O, , , 
IDT-BC6,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5cc(CCCCCC)c(C=C6C(=O)c7ccccc7C6=C(C#N)C#N)cc5CCCCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3cc(CCCCCC)c(C=C5C(=O)c6ccccc6C5=C(C#N)C#N)cc3CCCCCC)sc2-4)cc1,[R14]C1=CC=C(C2(C3=C(C4=C2C=C(C5=C([R14])C=C(C=C6C(C7=C(/C6=C(C#N)/C#N)C=CC=C7)=O)C([R14])=C5)S4)C=C(C(C8=CC=C([R14])C=C8)(C9=C%10SC(C%11=C([R14])C=C(C=C%12C(C%13=C(/C%12=C(C#N)/C#N)C=CC=C%13)=O)C([R14])=C%11)=C9)C%14=CC=C([R14])C=C%14)C%10=C3)C%15=CC=C([R14])C=C%15)C=C1, , , 
IDT-BOC6,CCCCCCOc1cc(-c2cc3c(s2)-c2cc4c(cc2C3(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)-c2sc(-c3cc(OCCCCCC)c(C=C5C(=O)c6ccccc6C5=C(C#N)C#N)cc3OCCCCCC)cc2C4(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)c(OCCCCCC)cc1C=C1C(=O)c2ccccc2C1=C(C#N)C#N,[R14]C1=CC=C(C2(C3=C(C4=C2C=C(C5=C(O[R14])C=C(C=C6C(C7=C(/C6=C(C#N)/C#N)C=CC=C7)=O)C(O[R14])=C5)S4)C=C(C(C8=CC=C([R14])C=C8)(C9=C%10SC(C%11=C(O[R14])C=C(C=C%12C(C%13=C(/C%12=C(C#N)/C#N)C=CC=C%13)=O)C(O[R14])=C%11)=C9)C%14=CC=C([R14])C=C%14)C%10=C3)C%15=CC=C([R14])C=C%15)C=C1, , , 
ATT-3,CCCCCCCCOC(=O)c1cc2c(-c3cc4c(s3)-c3cc5c(cc3C4(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)-c3sc(-c4sc(/C=C6/SC(=S)N(CC)C6=O)c6sc(C(=O)OCCCCCCCC)cc46)cc3C5(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)sc(/C=C3/SC(=S)N(CC)C3=O)c2s1,[R2]OC(C1=CC2=C(SC(/C=C3C(N(C(S\3)=S)CC)=O)=C2S1)C4=CC5=C(C6=C(C5(C7=CC=C([R14])C=C7)C8=CC=C([R14])C=C8)C=C(C9=C(C%10(C%11=CC=C([R14])C=C%11)C%12=CC=C([R14])C=C%12)C=C(C%13=C%14C=C(C(O[R2])=O)SC%14=C(/C=C%15C(N(C(S\%15)=S)CC)=O)S%13)S9)C%10=C6)S4)=O, , , 
NAI-FN-NAI(DT),CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)c2cccc3c(-c4ccc(-c5ccc6c(c5)C(=O)c5cc(-c7ccc(-c8ccc9c%10c(cccc8%10)C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C9=O)s7)ccc5-6)s4)ccc(c23)C1=O,[R34]N1C(C2=C3C(C1=O)=CC=C(C4=CC=C(S4)C5=CC(C(C6=C7C=CC(C8=CC=C(S8)C9=C%10C=CC=C(C(N(C%11=O)[R34])=O)C%10=C%11C=C9)=C6)=O)=C7C=C5)C3=CC=C2)=O, , , 
